# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
10.45, 0.13, 0.1286, 0.1286, 4.1626e-05, 0.1211, 0.1211, 1.6633e-02, 173675.9856, 1.0000, -1.0010e+00, 8.5381e+02, 0.65330, a<0
7.03, 0.16, 0.1598, 0.0302, 3.2016e-03, 0.2095, 0.0904, 7.2997e-03, 0.2200, 0.1129, 1.6577e-02, 1.0000e+05, 74.87415, tmax
9.24, 0.14, 0.1586, 0.0444, 3.5898e-03, 0.1885, 0.1158, -1.7511e-03, 0.1928, 0.0341, 1.6192e-02, 1.0000e+05, 75.78771, tmax
5.93, 0.15, 0.2049, 0.0038, 2.6193e-03, 0.2044, 0.0037, 1.5559e-02, 0.2476, 0.0944, 2.2367e-02, 1.0000e+05, 75.95595, tmax
4.18, 0.28, 0.0000, 1.0000, -1.6263e-02, 0.0000, 1.0000, -5.3305e-02, 0.0000, 1.0000, 5.6417e-01, 3.5026e+01, 0.03248, collision
5.13, 0.22, 0.2947, 0.0095, -6.0037e-02, 0.3343, 0.0678, 4.5369e-01, 0.3411, 0.1658, 4.6406e-02, 4.3355e+03, 3.55146, collision
4.66, 0.15, 0.2536, 0.0331, -1.3537e-01, 0.2596, 0.0438, 8.1906e-01, 0.3070, 0.1239, 1.7106e-01, 5.3964e+03, 4.24727, collision
10.05, 0.01, 0.0097, 0.0097, 4.8110e-05, 0.0139, 0.0139, 1.5661e-02, 0.2423, 0.2423, 2.2611e-02, 8.5381e+02, 0.62117, a>0.4R_H
5.72, 0.17, 0.1978, 0.0057, 3.3192e-03, 0.2081, 0.0160, 1.3217e-02, 0.2776, 0.1287, 2.6760e-02, 1.0000e+05, 76.51486, tmax
4.95, 0.24, 0.3719, 0.0265, 5.3027e-01, 0.4009, 0.0477, -3.4338e-01, 0.3973, 0.1703, 2.1447e-01, 2.6591e+03, 2.26598, collision
4.86, 0.20, 0.4035, 0.1002, -1.5788e-01, 0.3064, 0.0837, 5.4503e-01, 0.5906, 0.3611, 3.8008e-01, 9.9833e+02, 0.82427, collision
5.17, 0.12, 0.3005, 0.0045, -1.0486e-01, 0.3835, 0.0197, -4.9256e+00, 0.3753, 0.0706, -5.0992e-01, 1.3301e+04, 10.30626, collision
7.42, 0.14, 0.1859, 0.0372, 3.9964e-03, 0.2352, 0.1216, -1.4729e-03, 0.1621, 0.0009, 5.5200e-03, 1.0000e+05, 77.00323, tmax
10.58, 0.06, 0.0593, 0.0593, -6.4544e-05, 0.0537, 0.0537, 5.9945e-03, 221314.3985, 1.0000, -1.0008e+00, 8.5381e+02, 0.61171, a<0
6.57, 0.22, 0.2688, 0.0025, 3.2612e-03, 0.2725, 0.0078, -8.7798e-03, 0.3748, 0.1768, 2.2157e-02, 1.0000e+05, 77.29807, tmax
6.27, 0.25, 0.4834, 0.0917, -3.2869e-02, 0.3588, 0.0315, 8.7109e-02, 0.3969, 0.0408, -2.4295e-02, 5.9426e+03, 5.33233, d<R_roche
4.02, 0.28, 0.0000, 1.0000, 1.0118e+00, 0.0000, 1.0000, -4.0209e-01, 0.0000, 1.0000, 4.2839e-02, 3.4081e+01, 0.03142, collision
7.12, 0.19, 0.1901, 0.0570, 4.3088e-03, 0.2465, 0.1362, 1.7981e-03, 0.2370, 0.1372, -5.4005e-03, 1.0000e+05, 77.38468, tmax
9.45, 0.08, 0.0908, 0.0328, 3.3244e-03, 0.1045, 0.0593, 2.0893e-03, 0.1613, 0.0077, 5.6669e-02, 1.0000e+05, 71.72713, tmax
6.83, 0.01, 0.0237, 0.0002, 2.8873e-03, 0.0247, 0.0002, -1.2459e-03, 0.0343, 0.0002, 7.8095e-03, 1.0000e+05, 71.65260, tmax
4.93, 0.06, 0.0690, 0.0001, 3.2989e-03, 0.0786, 0.0016, 1.7289e-03, 0.1076, 0.0392, 2.0779e-03, 1.0000e+05, 72.60764, tmax
7.04, 0.21, 0.2101, 0.0202, 3.7963e-03, 0.2796, 0.0880, 2.8580e-03, 0.2990, 0.1423, 4.5613e-03, 1.0000e+05, 77.99772, tmax
10.66, 0.10, 0.0989, 0.0989, 3.2876e-05, 0.0918, 0.0918, 5.7389e-03, 194666.6548, 1.0000, -1.0009e+00, 8.5381e+02, 0.64040, a<0
10.55, 0.06, 0.0593, 0.0593, 4.9131e-05, 0.0578, 0.0578, 1.7939e-02, 215005.0602, 1.0000, -1.0008e+00, 8.5381e+02, 0.60931, a<0
10.32, 0.24, 0.2286, 0.2286, -3.1257e-05, 0.2614, 0.2614, -7.4453e-02, 159174.9645, 1.0000, -1.0011e+00, 8.5381e+02, 0.74156, a<0
7.59, 0.19, 0.3087, 0.0037, 4.9161e-03, 0.3175, 0.0090, -7.2681e-03, 0.2434, 0.0020, 1.5879e-02, 1.0000e+05, 78.01252, tmax
