# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, t_end(PM), wall_time, fate
3.97, 0.00, 0.0000, 1.0000, -1.5773e-01, 0.0000, 1.0000, 3.5275e-01, 0.0000, 1.0000, 4.3560e-01, 0.0000, 1.0000, 5.1712e-02, 6.4529e+02, 0.63335, collision
3.86, 0.00, 0.0000, 1.0000, -3.3973e-01, 0.0000, 1.0000, 6.4243e-01, 0.0000, 1.0000, -6.0444e+00, 0.0000, 1.0000, 9.3301e-02, 6.5510e+02, 0.68104, collision
3.93, 0.00, 0.0000, 1.0000, -3.9409e-02, 0.0000, 1.0000, 1.6344e-02, 0.0000, 1.0000, -9.4183e-02, 0.0000, 1.0000, 1.8804e+00, 6.9464e+02, 0.68995, collision
3.87, 0.00, 0.2680, 0.2680, -8.0438e-02, 1622974.4750, 1.0000, -1.0014e+00, 0.0000, 1.0000, -1.0105e+00, 0.0000, 1.0000, 1.2316e-01, 8.5381e+02, 0.94778, a<0
3.51, 0.00, 0.1788, 0.1788, -8.8614e-02, 986281.8094, 1.0000, -1.0047e+00, 0.0000, 1.0000, -1.0031e+00, 0.0000, 1.0000, -2.8280e-02, 8.5381e+02, 0.97603, a<0
3.99, 0.00, 0.2022, 0.1171, -9.0977e-02, 0.1855, 0.0241, 3.7793e-01, 0.1243, 0.0561, 2.2742e-02, 0.1241, 0.1134, 4.9605e-02, 1.0357e+03, 1.03157, collision
3.52, 0.00, 0.3730, 0.3179, -1.5019e-01, 0.2541, 0.1936, 8.2033e-01, 0.2836, 0.1295, -1.1696e-01, 0.2464, 0.2327, 1.8142e-01, 9.0890e+02, 1.17421, collision
3.94, 0.00, 0.2935, 0.0399, -1.6580e-01, 0.3913, 0.0393, 1.6115e+00, 0.5390, 0.0852, 8.9884e-01, 0.3534, 0.0179, -4.2919e-01, 1.5692e+03, 1.65471, collision
4.02, 0.00, 0.2830, 0.0202, -9.6193e-03, 0.2539, 0.0040, 6.9046e-03, 0.2572, 0.0144, 8.5769e-01, 0.2328, 0.0140, 7.2612e-02, 2.7069e+03, 2.76753, collision
4.00, 0.00, 0.2745, 0.0284, -2.4269e-01, 0.3568, 0.0093, 4.3598e+00, 0.2263, 0.0054, 6.4868e-02, 0.1443, 0.0113, 6.7336e-02, 3.3163e+03, 3.26455, collision
4.03, 0.00, 0.2313, 0.0100, -1.8755e-01, 0.3159, 0.0233, 7.7999e-01, 0.1747, 0.0066, 7.0605e-02, 0.1754, 0.0065, 1.0090e-01, 5.1049e+03, 4.97507, collision
4.01, 0.00, 0.3015, 0.0203, -1.9977e-01, 0.2882, 0.0174, 1.0416e+00, 0.2459, 0.0075, 6.2777e-02, 0.1663, 0.0049, 4.1334e-02, 7.3328e+03, 7.23560, collision
4.06, 0.00, 0.2736, 0.0086, 8.3455e-03, 0.3213, 0.0093, 1.4688e-01, 0.2586, 0.0062, 3.2000e-02, 0.1732, 0.0029, 5.4655e-02, 1.1989e+04, 11.59505, collision
4.05, 0.00, 0.4407, 0.0055, 1.2945e+00, 0.4628, 0.0112, -3.9902e-01, 0.4663, 0.0010, 1.3964e+00, 0.6138, 0.0015, -4.9924e-01, 1.2754e+04, 12.57369, collision
4.07, 0.00, 0.4913, 0.0027, -3.1358e-01, 0.6443, 0.0090, 1.6945e+00, 0.4065, 0.0024, 9.1329e-01, 0.2314, 0.0052, -9.9379e-02, 1.4839e+04, 14.91882, collision
4.12, 0.00, 0.2420, 0.0032, 4.7586e-01, 0.3177, 0.0031, -4.4336e-01, 0.2043, 0.0006, 3.0401e+00, 0.1724, 0.0046, 2.6123e-02, 2.5053e+04, 23.46281, collision
4.04, 0.00, 0.4143, 0.0075, -1.7896e-01, 0.7354, 0.0068, 4.4992e-01, 0.3906, 0.0029, 3.2604e-01, 0.2449, 0.0071, 2.1220e-01, 3.1323e+04, 30.58479, collision
3.98, 0.00, 0.5246, 0.0073, -1.8479e-01, 0.4790, 0.0041, 1.1311e-01, 0.4056, 0.0038, 5.7190e-01, 0.1974, 0.0022, 1.1705e-01, 3.5382e+04, 35.45135, d<R_roche
4.10, 0.00, 0.3276, 0.0040, -1.3762e-02, 0.3133, 0.0037, 2.6073e-02, 0.4215, 0.0023, 3.5464e-01, 0.1789, 0.0025, 1.5383e-02, 4.1884e+04, 40.30039, collision
4.08, 0.00, 0.2921, 0.0060, -2.6170e-01, 0.5680, 0.0039, 1.7645e+00, 0.2336, 0.0032, 5.5457e-01, 0.2455, 0.0029, -2.0075e-01, 4.5350e+04, 43.02334, collision
4.15, 0.00, 0.3441, 0.0044, -1.8561e-01, 0.4026, 0.0024, -2.2177e-02, 0.3165, 0.0023, 6.4495e+00, 0.2794, 0.0005, 2.5979e-01, 5.7406e+04, 53.55403, collision
4.16, 0.00, 0.2811, 0.0014, 1.7459e-01, 0.4188, 0.0017, 8.3401e-01, 0.2115, 0.0016, -4.7919e-01, 0.1654, 0.0013, 1.9460e-01, 5.9601e+04, 55.64235, collision
