# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
4.61, 0.00, 0.0747, 0.0747, 1.1193e-01, 0.0438, 0.0438, -9.5292e-02, 0.1108, 0.1108, -3.0563e-03, 0.0292, 0.0292, 2.0786e-02, 0.0286, 0.0286, 1.1621e-02, 8.7619e+02, 0.94291, collision
4.08, 0.00, 0.1396, 0.0072, -8.0616e-02, 0.1739, 0.0066, 3.2039e-02, 0.2219, 0.0071, 3.8179e-02, 0.0843, 0.0164, 4.6465e-02, 0.1469, 0.0109, 6.3698e-02, 1.5924e+03, 1.76830, collision
4.35, 0.00, 0.0881, 0.0070, 8.4316e-02, 0.1133, 0.0152, -8.8907e-02, 0.1147, 0.0046, 2.2269e-01, 0.0658, 0.0055, -1.3321e-01, 0.0374, 0.0042, 5.1166e-03, 1.6437e+03, 1.77242, collision
4.13, 0.00, 0.0729, 0.0062, -6.0231e-02, 0.0711, 0.0099, 2.2118e-02, 0.0932, 0.0072, 1.0014e-01, 0.0793, 0.0031, 9.1654e-03, 0.0502, 0.0023, 1.1803e-03, 1.7066e+03, 1.84826, collision
4.33, 0.00, 0.0451, 0.0016, -1.9714e-02, 0.1139, 0.0025, 1.9283e-01, 0.0791, 0.0043, -1.1386e-01, 0.0407, 0.0062, 6.2962e-04, 0.0209, 0.0010, 3.2692e-03, 1.7205e+03, 1.84032, collision
4.64, 0.00, 0.0951, 0.0180, -7.7769e-03, 0.0919, 0.0632, -3.5390e-02, 0.0912, 0.0418, 9.6320e-03, 0.0846, 0.0056, 9.4384e-02, 0.0300, 0.0154, 8.9628e-03, 1.0894e+03, 1.17204, collision
4.37, 0.00, 0.0516, 0.0033, -1.1279e-01, 0.0604, 0.0054, 1.5085e-01, 0.0513, 0.0072, 5.3462e-02, 0.0418, 0.0011, 9.1249e-03, 0.0112, 0.0019, 5.0039e-03, 1.9461e+03, 2.08423, collision
4.30, 0.00, 0.0439, 0.0027, 1.6273e-03, 0.0658, 0.0045, 2.7762e-01, 0.0920, 0.0064, -2.0181e-01, 0.0356, 0.0025, 1.8925e-02, 0.0432, 0.0022, 9.6201e-03, 2.1242e+03, 2.28106, collision
4.71, 0.00, 0.0000, 1.0000, 4.3471e-01, 0.0000, 1.0000, -2.1745e-01, 0.0000, 1.0000, -1.4913e-01, 0.0000, 1.0000, 1.9844e-01, 0.0000, 1.0000, -8.2414e-02, 3.5361e+02, 0.38344, collision
4.46, 0.00, 0.1900, 0.0020, -1.2024e-01, 0.2474, 0.0108, 7.7924e-02, 0.1994, 0.0080, 1.7457e-01, 0.1256, 0.0041, -7.0382e-02, 0.1325, 0.0006, 9.4186e-02, 2.1440e+03, 2.44567, collision
4.63, 0.00, 0.0744, 0.0054, -1.0074e-02, 0.0604, 0.0125, 6.1519e-02, 0.1070, 0.0097, -4.7156e-02, 0.0581, 0.0175, 3.5480e-02, 0.0474, 0.0018, 8.3203e-03, 2.0466e+03, 2.21450, collision
4.69, 0.00, 0.0000, 1.0000, -4.3457e-02, 0.0000, 1.0000, 4.2229e-02, 0.0000, 1.0000, 1.1165e-01, 0.0000, 1.0000, -6.9235e-02, 0.0000, 1.0000, 1.0212e-02, 6.9331e+02, 0.77525, collision
4.34, 0.00, 0.1211, 0.0017, -4.2709e-02, 0.1099, 0.0036, -2.8266e-02, 0.0993, 0.0032, 4.4473e-02, 0.0862, 0.0025, 3.1113e-01, 0.2434, 0.0047, -1.2841e-01, 2.4963e+03, 2.69679, collision
4.72, 0.00, 0.0000, 1.0000, 1.0143e-01, 0.0000, 1.0000, -1.0186e-01, 0.0000, 1.0000, 3.4409e-02, 0.0000, 1.0000, -3.7517e-03, 0.0000, 1.0000, 5.8967e-03, 4.4289e+02, 0.47394, collision
4.07, 0.00, 0.1283, 0.0090, -9.2578e-02, 0.1058, 0.0163, -5.1721e-02, 0.0953, 0.0068, 3.1282e-01, 0.0792, 0.0046, 1.5973e-02, 0.0591, 0.0075, 1.4959e-03, 2.5767e+03, 2.80736, collision
4.27, 0.00, 0.0586, 0.0040, -6.6018e-02, 0.0906, 0.0067, 5.7201e-02, 0.0821, 0.0035, 5.4753e-02, 0.0496, 0.0040, 2.2422e-02, 0.0518, 0.0021, 3.5273e-03, 2.6768e+03, 2.86912, collision
4.73, 0.00, 0.0000, 1.0000, -4.3609e-03, 0.0000, 1.0000, 7.8217e-03, 0.0000, 1.0000, 2.8550e-03, 0.0000, 1.0000, 2.1963e-02, 0.0000, 1.0000, 3.7674e-03, 3.7483e+02, 0.42374, collision
