#delta_H, max e_m1, max e_m2, max e_m3, max e_m4, max e_m5, sim finish time (n Pmoon), wall_time
3.82, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.0123e+01, 0.08525
3.54, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1243e+01, 0.04524
3.88, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9060e+01, 0.04054
3.97, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2931e+02, 0.28734
3.89, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.0285e+01, 0.14669
3.55, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.3104e+01, 0.15690
3.83, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.9130e+01, 0.19232
3.60, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2167e+02, 0.27867
3.84, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.6072e+01, 0.03451
3.69, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2609e+02, 0.30284
4.04, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.3898e+02, 0.52440
3.70, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.9649e+01, 0.06256
3.85, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.4996e+01, 0.09649
3.56, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0024e+02, 0.21790
3.90, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0226e+02, 0.24279
3.71, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.1571e+01, 0.08931
3.72, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.8158e+01, 0.03937
3.98, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.4375e+02, 0.30836
3.57, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.5316e+01, 0.09611
3.73, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.0513e+01, 0.09253
3.99, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.0905e+01, 0.10943
3.58, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.4358e+01, 0.13624
3.91, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.9609e+01, 0.23121
3.74, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.4217e+01, 0.12976
3.92, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.5044e+01, 0.07549
4.00, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.8948e+01, 0.21283
4.01, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5683e+01, 0.05480
3.75, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.3836e+01, 0.16012
