6.80, 0.2780, 0.2761, 0.2357, 0.2436, 0.3390, 3.1946e+06, 6409.62618
6.60, 0.2093, 0.1789, 0.1332, 0.1655, 0.1271, 4.9784e+05, 1043.55784
8.10, 0.1766, 0.1768, 0.1512, 0.1340, 0.0878, 2.8904e+06, 5761.74949
9.90, 0.4088, 0.4979, 0.4557, 0.1996, 0.1472, 1.4367e+06, 3016.59042
9.80, 0.4405, 0.3936, 0.4069, 0.2770, 0.2149, 9.9539e+05, 2121.10525
6.90, 0.2868, 0.2130, 0.1549, 0.0958, 0.1206, 1.8098e+06, 3684.92719
10.00, 0.4158, 0.3968, 0.2864, 0.2302, 0.0557, 1.5877e+06, 3245.96086
10.30, 0.2741, 0.2748, 0.2130, 0.2188, 0.0209, 2.9644e+06, 5940.40293
8.40, 0.1969, 0.1498, 0.1530, 0.1382, 0.0945, 4.8494e+06, 9482.03096
10.10, 0.3679, 0.3241, 0.3380, 0.2479, 0.0624, 1.6560e+06, 3408.87108
8.70, 0.0535, 0.0567, 0.0387, 0.0342, 0.0294, 1.0001e+07, 18503.85408
8.20, 0.1725, 0.2436, 0.1520, 0.0937, 0.0673, 3.7024e+06, 7321.45845
10.70, 0.2866, 0.3068, 0.2116, 0.1899, 0.0239, 4.2712e+06, 8374.36786
7.00, 0.1457, 0.1206, 0.1248, 0.1437, 0.0820, 4.5534e+06, 8959.07710
10.20, 0.4108, 0.3410, 0.2431, 0.1540, 0.0196, 2.5564e+06, 5121.70079
9.10, 0.0857, 0.0792, 0.0708, 0.0604, 0.0554, 1.0001e+07, 18479.99615
8.50, 0.3641, 0.2545, 0.3712, 0.1797, 0.1124, 5.6482e+06, 10989.56288
10.40, 0.2644, 0.3328, 0.2085, 0.1238, 0.0210, 6.1083e+06, 11933.08397
11.10, 0.3467, 0.2838, 0.2479, 0.1108, 0.0257, 5.4084e+06, 10452.63960
8.80, 0.2719, 0.2495, 0.1959, 0.1180, 0.0765, 7.5413e+06, 14401.55894
10.80, 0.3411, 0.2995, 0.3251, 0.1950, 0.0505, 7.6776e+06, 15153.87790
11.50, 0.3902, 0.3309, 0.4315, 0.2404, 0.0325, 7.5853e+06, 14495.56278
10.50, 0.2856, 0.3208, 0.1836, 0.1385, 0.0200, 5.3079e+06, 10408.77888
9.20, 0.1568, 0.1658, 0.0876, 0.0968, 0.0567, 8.2864e+06, 15585.34470
8.60, 0.3042, 0.3251, 0.2407, 0.2590, 0.2857, 5.9184e+06, 11448.32753
11.20, 0.4383, 0.6037, 0.5837, 0.3513, 0.0446, 5.6056e+06, 10836.05996
11.90, 0.3364, 0.3216, 0.2078, 0.0372, 0.0417, 9.3635e+06, 17494.40148
10.90, 0.3426, 0.2998, 0.3394, 0.2133, 0.0252, 5.5175e+06, 10794.40409
8.90, 0.1535, 0.1571, 0.0989, 0.1076, 0.0840, 7.0998e+06, 13523.01778
11.60, 0.4974, 136.2590, 0.8034, 0.2148, 0.0428, 7.5690e+06, 14394.61128
9.30, 0.2656, 0.3722, 0.2669, 0.1130, 0.0253, 7.7300e+06, 14582.90320
11.30, 0.3887, 0.3827, 0.3215, 0.2775, 0.0773, 7.2616e+06, 13947.39108
11.00, 0.2916, 0.3065, 0.4347, 0.4636, 0.1639, 5.2493e+06, 10216.54821
12.30, 0.0185, 0.0145, 0.0125, 0.0106, 0.0528, 1.0001e+07, 18335.44051
12.00, 0.3322, 0.3140, 0.2714, 0.0883, 0.0447, 1.0001e+07, 18644.15873
9.00, 0.1858, 0.2086, 0.1499, 0.1066, 0.0941, 1.0001e+07, 18541.52519
11.70, 0.3203, 0.3161, 0.3253, 0.1388, 0.0372, 7.7536e+06, 14611.17937
12.70, 0.2077, 0.2874, 0.1807, 0.0484, 0.0694, 1.0001e+07, 19197.35526
9.40, 0.1565, 0.1666, 0.1181, 0.1137, 0.1067, 6.8968e+06, 13147.26541
11.40, 0.2986, 0.2798, 0.2467, 0.2363, 0.0305, 7.3627e+06, 13937.74142
13.10, 0.5238, 0.5932, 0.4860, 0.0350, 0.0906, 6.9107e+06, 13045.36926
12.60, 0.4328, 0.3580, 0.3296, 0.0359, 0.0638, 1.3015e+06, 4269.24697
12.80, 0.4982, 0.4429, 0.6675, 0.2340, 0.0926, 2.5792e+06, 8109.72841
10.60, 0.3263, 0.4351, 0.4240, 0.3825, 0.1810, 4.1133e+06, 12372.06022
12.90, 0.4123, 0.6111, 0.5839, 0.4649, 0.5018, 3.4266e+06, 10973.85162
13.00, 0.4179, 0.5003, 0.2618, 0.0252, 0.0837, 2.7994e+06, 8754.62736
11.80, 0.4451, 0.4116, 0.2500, 0.0718, 0.0387, 8.6401e+06, 24520.55886
12.20, 0.1626, 0.1665, 0.0943, 0.0127, 0.0504, 1.0001e+07, 27754.41936
13.60, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000e+00, 0.00353
12.10, 0.1934, 0.1807, 0.1901, 0.0873, 0.0465, 1.0001e+07, 27822.46879
12.40, 0.0063, 0.0040, 0.0041, 0.0111, 0.0572, 1.0001e+07, 27844.20194
12.50, 0.0114, 0.0089, 0.0113, 0.0123, 0.0604, 1.0001e+07, 27918.41913
13.40, 0.5045, 0.5120, 0.4945, 0.1138, 0.1130, 7.4332e+06, 17992.94039
13.20, 0.1479, 0.3128, 0.1028, 0.0176, 0.0977, 1.0001e+07, 23644.94305
13.30, 0.2449, 0.2964, 0.1634, 0.0191, 0.1054, 1.0001e+07, 23230.88119
13.50, 0.1438, 0.2684, 0.0700, 0.0180, 0.1233, 1.0001e+07, 19030.52336
3.95, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9081e+01, 0.05960
3.77, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.6223e+01, 0.07006
3.50, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.0278e+01, 0.09951
3.78, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2662e+01, 0.03291
3.96, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9183e+01, 0.06084
3.79, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2592e+01, 0.03043
3.86, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.3565e+01, 0.14186
3.80, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2567e+01, 0.03788
3.81, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.2586e+01, 0.04657
3.59, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.6879e+01, 0.23476
3.51, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.0249e+01, 0.13650
3.68, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.1818e+01, 0.25929
3.87, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.6363e+01, 0.15047
3.88, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9060e+01, 0.06048
3.82, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.0122e+01, 0.13549
3.52, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5658e+01, 0.11916
3.53, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1392e+01, 0.06506
3.69, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.2620e+01, 0.16279
3.54, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1243e+01, 0.07870
3.70, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.9649e+01, 0.13146
3.71, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.1571e+01, 0.11241
3.89, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.0662e+01, 0.31977
3.72, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.8158e+01, 0.07178
3.83, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0145e+02, 0.38961
4.04, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.2236e+02, 0.75356
3.84, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.6072e+01, 0.03766
3.60, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.7110e+02, 0.60666
3.73, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.0489e+01, 0.11566
3.90, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.4446e+01, 0.19571
3.55, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.1955e+02, 0.37960
3.85, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.4937e+01, 0.21208
3.74, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.6121e+01, 0.14191
3.91, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.6824e+01, 0.23718
3.75, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.3843e+01, 0.12431
3.92, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.5044e+01, 0.09120
3.76, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.2753e+01, 0.12409
3.56, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.3441e+02, 0.38133
3.61, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.3158e+02, 0.52659
3.57, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.5316e+01, 0.13501
3.93, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.4943e+01, 0.24779
3.94, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9069e+01, 0.04791
3.58, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.0438e+01, 0.22932
3.62, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.3851e+01, 0.29727
3.63, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5018e+01, 0.08098
3.97, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.0178e+02, 1.66720
3.64, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1095e+01, 0.05468
3.98, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.5780e+01, 0.32519
3.65, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.7178e+02, 0.49692
3.66, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.5300e+01, 0.09595
3.67, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.9813e+01, 0.10488
3.99, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.1524e+02, 0.62906
4.00, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.0318e+02, 0.60578
4.01, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 2.5683e+01, 0.06829
4.02, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.4890e+01, 0.21444
4.05, 0.0364, 0.0382, 0.0238, 0.0431, 0.0442, 1.6676e+03, 4.88413
4.03, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.1179e+02, 2.29371
4.67, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.7642e+02, 2.70685
4.13, 0.0423, 0.0517, 0.0410, 0.0360, 0.0537, 3.4505e+03, 9.69573
4.06, 0.0581, 0.0804, 0.0477, 0.0658, 0.0241, 2.3214e+03, 6.14734
4.68, 0.0229, 0.0839, 0.0544, 0.0607, 0.0121, 2.1302e+03, 5.60251
4.58, 0.0167, 0.0197, 0.0250, 0.0230, 0.0317, 4.9171e+03, 13.22170
4.69, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.4229e+02, 1.98046
4.07, 0.0232, 0.0311, 0.0561, 0.0557, 0.0320, 1.7267e+03, 4.88361
4.40, 0.0466, 0.0407, 0.0219, 0.0305, 0.0312, 6.3711e+03, 17.27790
4.49, 0.0362, 0.0365, 0.0205, 0.0582, 0.0348, 6.2607e+03, 17.53655
4.70, 0.0527, 0.0501, 0.0638, 0.0629, 0.0254, 1.1317e+03, 2.97177
4.71, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.2130e+02, 0.81883
4.72, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.3732e+02, 1.65465
4.08, 0.0348, 0.1432, 0.1845, 0.0572, 0.0265, 2.0053e+03, 5.28413
4.73, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 6.4904e+02, 1.71452
4.22, 0.0491, 0.0634, 0.0456, 0.0468, 0.0422, 8.1730e+03, 22.39916
4.74, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.7973e+02, 1.51299
4.59, 0.0515, 0.0386, 0.0563, 0.0517, 0.0380, 3.7897e+03, 9.99834
4.75, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.8605e+02, 1.24670
4.76, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 9.9863e+02, 2.72766
4.09, 0.0385, 0.0510, 0.0624, 0.0329, 0.0559, 3.5649e+03, 9.53393
4.31, 0.1787, 0.1459, 0.1695, 0.0487, 0.0967, 1.1205e+04, 30.45480
4.60, 0.1281, 0.0979, 0.0530, 0.0261, 0.0305, 2.4709e+03, 6.85801
4.14, 0.0455, 0.0539, 0.0685, 0.0561, 0.0600, 9.5404e+03, 24.98264
4.61, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.3906e+02, 2.20617
4.77, 0.0831, 0.0576, 0.1157, 0.1166, 0.0277, 2.3064e+03, 6.14668
4.41, 0.0513, 0.0368, 0.0423, 0.0440, 0.0313, 7.8802e+03, 20.99487
4.32, 0.0222, 0.0291, 0.0245, 0.0242, 0.0219, 3.5490e+03, 9.31542
4.23, 0.0388, 0.0299, 0.0566, 0.0363, 0.0540, 7.2799e+03, 19.57009
4.78, 0.0481, 0.0455, 0.1401, 0.0739, 0.0534, 3.4901e+03, 9.24950
4.79, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.9066e+02, 2.03060
4.80, 0.0809, 0.0201, 0.0411, 0.0984, 0.1662, 1.0793e+03, 2.79160
4.42, 0.0131, 0.0265, 0.0434, 0.0483, 0.0326, 3.8759e+03, 10.38947
4.81, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 5.1883e+02, 1.32722
4.10, 0.0567, 0.0453, 0.0524, 0.0597, 0.0556, 7.2597e+03, 19.04154
4.82, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 8.1418e+02, 2.08902
4.33, 0.0357, 0.0278, 0.0235, 0.0347, 0.0245, 4.7826e+03, 12.28093
4.83, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.5806e+02, 2.11664
4.62, 0.2697, 0.2264, 0.3415, 0.2231, 0.2069, 6.6120e+03, 21.10371
4.11, 0.0351, 0.0622, 0.0365, 0.0311, 0.0513, 2.8535e+03, 7.61229
4.34, 0.0477, 0.0235, 0.0720, 0.0245, 0.0245, 2.4827e+03, 6.53008
4.84, 0.0236, 0.0499, 0.0062, 0.0303, 0.0209, 1.9838e+03, 5.21240
4.63, 0.0239, 0.0193, 0.0230, 0.0352, 0.0217, 1.5437e+03, 3.95281
4.43, 0.0301, 0.0310, 0.0321, 0.0184, 0.0210, 4.4209e+03, 11.57221
4.85, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 7.9752e+02, 2.06628
4.86, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.1126e+02, 1.04003
4.15, 0.0597, 0.0592, 0.0477, 0.0294, 0.0492, 1.1460e+04, 29.71292
4.50, 0.0275, 0.0621, 0.0509, 0.0576, 0.0467, 1.8717e+04, 47.96340
4.12, 0.0607, 0.0474, 0.0266, 0.0388, 0.0355, 3.6595e+03, 9.47181
4.87, 0.0162, 0.0499, 0.0818, 0.0311, 0.0660, 1.9736e+03, 5.39474
4.88, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.9325e+02, 0.52458
4.64, 0.0529, 0.0486, 0.0294, 0.0399, 0.0308, 3.6963e+03, 9.70547
4.51, 0.0436, 0.0340, 0.0281, 0.0321, 0.0060, 2.8091e+03, 7.46242
4.44, 0.0311, 0.0412, 0.0392, 0.0427, 0.0376, 5.5426e+03, 14.53132
4.94, 0.0545, 0.0513, 0.0416, 0.0602, 0.0334, 4.6831e+03, 12.29286
