# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.56, 0.00, 0.0000, 1.0000, -1.9439e-02, 0.0000, 1.0000, -5.3997e-03, 0.0000, 1.0000, -7.2813e-02, 0.0000, 1.0000, 1.8110e-01, 0.0000, 1.0000, 5.2868e-03, 5.9038e+01, 0.03395, collision
3.99, 0.00, 0.0000, 1.0000, -2.1556e-02, 0.0000, 1.0000, -5.3761e-02, 0.0000, 1.0000, 5.7948e+00, 0.0000, 1.0000, -3.4495e-01, 0.0000, 1.0000, -1.8871e-03, 3.3637e+01, 0.01933, collision
3.71, 0.00, 0.0000, 1.0000, 1.3065e-02, 0.0000, 1.0000, -1.9260e-03, 0.0000, 1.0000, 2.1291e-01, 0.0000, 1.0000, -1.6572e-01, 0.0000, 1.0000, 9.8385e-03, 3.3625e+01, 0.01939, collision
3.92, 0.00, 0.0000, 1.0000, -1.2360e-02, 0.0000, 1.0000, -6.7095e-03, 0.0000, 1.0000, 3.9786e-01, 0.0000, 1.0000, -2.2858e-01, 0.0000, 1.0000, 2.4621e-02, 7.3620e+01, 0.03916, collision
3.87, 0.00, 0.0000, 1.0000, -2.2906e-02, 0.0000, 1.0000, -1.3194e-01, 0.0000, 1.0000, 2.2811e-01, 0.0000, 1.0000, 4.0534e-02, 0.0000, 1.0000, 4.6793e-02, 4.9524e+01, 0.02733, collision
3.63, 0.00, 0.0000, 1.0000, -9.5073e-02, 0.0000, 1.0000, 1.0921e-01, 0.0000, 1.0000, 6.2252e-02, 0.0000, 1.0000, 9.6367e-03, 0.0000, 1.0000, -2.0830e-03, 7.2854e+01, 0.03998, collision
3.86, 0.00, 0.0000, 1.0000, -3.5432e-02, 0.0000, 1.0000, 7.3599e-03, 0.0000, 1.0000, 6.6853e-02, 0.0000, 1.0000, -2.7162e-02, 0.0000, 1.0000, 4.1982e-02, 8.7492e+01, 0.04786, collision
4.02, 0.00, 0.0000, 1.0000, -7.8800e-03, 0.0000, 1.0000, -8.9534e-03, 0.0000, 1.0000, 1.5122e-01, 0.0000, 1.0000, 3.0411e-01, 0.0000, 1.0000, -2.8661e-01, 1.0012e+02, 0.05348, collision
3.65, 0.00, 0.0000, 1.0000, -1.0105e+00, 0.0000, 1.0000, -1.6061e-02, 0.0000, 1.0000, -1.0017e+00, 0.0000, 1.0000, 2.5891e+00, 0.0000, 1.0000, 2.2236e-01, 1.8075e+02, 0.08729, collision
3.82, 0.00, 0.0000, 1.0000, -1.2367e-01, 0.0000, 1.0000, 1.5320e-01, 0.0000, 1.0000, 2.2182e-01, 0.0000, 1.0000, -1.0862e-01, 0.0000, 1.0000, 1.4345e-03, 1.4657e+02, 0.08606, collision
3.60, 0.00, 0.0000, 1.0000, 1.4206e-01, 0.0000, 1.0000, 1.8402e-01, 0.0000, 1.0000, -2.6791e-01, 0.0000, 1.0000, 2.1893e-01, 0.0000, 1.0000, -1.3527e-01, 1.9678e+02, 0.10345, collision
4.04, 0.00, 0.0000, 1.0000, -1.1269e-01, 0.0000, 1.0000, 1.1255e-01, 0.0000, 1.0000, 2.6830e-01, 0.0000, 1.0000, -1.2429e-01, 0.0000, 1.0000, 1.2130e-02, 1.6603e+02, 0.08670, collision
4.00, 0.00, 0.0000, 1.0000, 3.0201e-02, 0.0000, 1.0000, 7.1914e-02, 0.0000, 1.0000, -2.1911e-01, 0.0000, 1.0000, 1.8952e-01, 0.0000, 1.0000, 9.6487e-02, 2.0991e+02, 0.10899, collision
3.84, 0.00, 0.0000, 1.0000, -3.6507e-02, 0.0000, 1.0000, -8.6094e-02, 0.0000, 1.0000, 1.7838e-01, 0.0000, 1.0000, -1.0998e+00, 0.0000, 1.0000, -1.0038e+00, 1.9609e+02, 0.12041, collision
4.03, 0.00, 0.0000, 1.0000, -1.6722e-02, 0.0000, 1.0000, -4.5526e-02, 0.0000, 1.0000, 5.3325e-02, 0.0000, 1.0000, -1.7727e-02, 0.0000, 1.0000, 1.1636e-01, 2.3511e+02, 0.12329, collision
3.62, 0.00, 0.0000, 1.0000, -5.8292e-02, 0.0000, 1.0000, -1.0047e+00, 0.0000, 1.0000, -1.0052e+00, 0.0000, 1.0000, 5.0555e-01, 0.0000, 1.0000, -1.7067e-01, 3.9196e+02, 0.21177, collision
4.05, 0.00, 0.0000, 1.0000, -2.4604e-02, 0.0000, 1.0000, 1.3082e-01, 0.0000, 1.0000, -8.1713e-02, 0.0000, 1.0000, 7.3452e-03, 0.0000, 1.0000, 9.4474e-03, 6.4589e+02, 0.32917, collision
4.06, 0.00, 0.0000, 1.0000, -4.2770e-03, 0.0000, 1.0000, -7.1418e-02, 0.0000, 1.0000, 1.2006e-01, 0.0000, 1.0000, 2.6107e-02, 0.0000, 1.0000, 7.3913e-03, 6.6944e+02, 0.34095, collision
4.61, 0.00, 0.0965, 0.0518, -6.1236e-02, 0.0962, 0.0558, 1.2287e-01, 0.0380, 0.0174, -7.3372e-03, 0.0206, 0.0143, -1.2993e-04, 0.0096, 0.0095, -2.9958e-04, 8.9517e+02, 0.44578, collision
4.07, 0.00, 0.0503, 0.0049, 2.6315e-02, 0.0765, 0.0184, -1.6891e-02, 0.0667, 0.0177, 1.6356e-03, 0.0484, 0.0112, 2.7715e-03, 0.0462, 0.0102, 1.0648e-02, 1.3024e+03, 0.66208, collision
4.36, 0.00, 0.1088, 0.0245, -6.1543e-02, 0.1589, 0.0242, -1.4201e-02, 0.0589, 0.0030, 1.0518e-01, 0.0608, 0.0100, 6.1062e-02, 0.0913, 0.0036, 2.4925e-02, 1.6498e+03, 0.83943, collision
4.39, 0.00, 0.0669, 0.0027, 3.2789e-01, 0.0815, 0.0040, -2.3753e-01, 0.0555, 0.0084, 3.6625e-02, 0.0560, 0.0068, 9.9378e-03, 0.0506, 0.0011, -4.0087e-03, 1.9952e+03, 1.00511, collision
4.35, 0.00, 0.0609, 0.0026, 8.3391e-03, 0.0658, 0.0012, -1.0330e-02, 0.0595, 0.0029, 5.8695e-03, 0.0555, 0.0106, 1.4205e-02, 0.0508, 0.0015, 7.9175e-03, 2.0378e+03, 1.02839, collision
4.56, 0.00, 0.1433, 0.0153, -1.2172e-02, 0.0864, 0.0075, 9.7245e-03, 0.0942, 0.0066, 2.9449e-02, 0.0603, 0.0028, -1.0903e-02, 0.0297, 0.0063, 1.3915e-02, 1.7899e+03, 0.92570, collision
4.27, 0.00, 0.1099, 0.0031, -4.7168e-02, 0.1157, 0.0040, -9.0270e-02, 0.1510, 0.0024, 1.9385e-01, 0.0466, 0.0024, 7.0245e-02, 0.0389, 0.0013, 5.8689e-03, 2.2464e+03, 1.13686, collision
4.59, 0.00, 0.0984, 0.0046, -9.4356e-03, 0.0787, 0.0109, 3.8228e-04, 0.0609, 0.0045, 1.1915e-01, 0.0823, 0.0119, -9.4362e-02, 0.0950, 0.0158, 3.5488e-02, 1.9082e+03, 0.96609, collision
4.53, 0.00, 0.0543, 0.0014, -6.7274e-02, 0.1310, 0.0020, -6.7836e-02, 0.1110, 0.0043, 2.8101e-01, 0.0773, 0.0046, -1.3633e-02, 0.0668, 0.0094, 2.4394e-02, 2.0649e+03, 1.05136, collision
4.60, 0.00, 0.0530, 0.0067, -1.2772e-02, 0.0801, 0.0059, 1.5270e-02, 0.0691, 0.0058, 1.8112e-01, 0.0778, 0.0070, -1.6508e-01, 0.1262, 0.0076, 6.3431e-02, 1.9249e+03, 0.98479, collision
4.51, 0.00, 0.0492, 0.0052, -2.3087e-03, 0.0668, 0.0022, -7.2317e-02, 0.0526, 0.0029, 6.3424e-02, 0.1464, 0.0058, 1.8365e-01, 0.0668, 0.0030, -8.5851e-02, 2.1468e+03, 1.07871, collision
4.72, 0.00, 0.0000, 1.0000, -4.3679e-02, 0.0000, 1.0000, 1.4275e-02, 0.0000, 1.0000, 5.0245e-02, 0.0000, 1.0000, 6.6304e-02, 0.0000, 1.0000, -8.9719e-03, 3.3580e+02, 0.18709, collision
4.71, 0.00, 0.0000, 1.0000, -1.1026e-02, 0.0000, 1.0000, -6.5919e-03, 0.0000, 1.0000, 1.2090e-01, 0.0000, 1.0000, -5.4648e-02, 0.0000, 1.0000, 1.7914e-03, 4.6937e+02, 0.28660, collision
4.75, 0.00, 0.0000, 1.0000, 1.2800e-03, 0.0000, 1.0000, 2.4601e-01, 0.0000, 1.0000, -1.9469e-01, 0.0000, 1.0000, 1.8355e-02, 0.0000, 1.0000, 2.1295e-02, 4.5186e+02, 0.22507, collision
4.73, 0.00, 0.0000, 1.0000, -3.0243e-02, 0.0000, 1.0000, 1.5091e-04, 0.0000, 1.0000, -1.1336e-02, 0.0000, 1.0000, 2.8597e-01, 0.0000, 1.0000, -1.2848e-01, 4.9863e+02, 0.25001, collision
4.38, 0.00, 0.1248, 0.0024, -5.7108e-02, 0.2070, 0.0023, 2.4560e-02, 0.0971, 0.0051, 1.5073e-02, 0.0629, 0.0049, 9.6300e-02, 0.0285, 0.0020, 1.1392e-02, 2.8393e+03, 1.43619, collision
4.69, 0.00, 0.0537, 0.0126, -1.1407e-02, 0.0751, 0.0102, 4.1681e-03, 0.1010, 0.0216, -3.5448e-02, 0.1438, 0.0237, 5.1676e-01, 0.0589, 0.0262, -2.3161e-01, 1.1391e+03, 0.59053, collision
4.48, 0.00, 0.0248, 0.0009, 5.0799e-04, 0.0343, 0.0017, -1.1616e-02, 0.0531, 0.0016, -9.4826e-02, 0.0530, 0.0005, 2.5336e-01, 0.0318, 0.0011, 1.1312e-02, 2.8959e+03, 1.45543, collision
4.74, 0.00, 0.0000, 1.0000, -3.4114e-02, 0.0000, 1.0000, -1.9021e-01, 0.0000, 1.0000, 5.8604e-01, 0.0000, 1.0000, 1.2379e-01, 0.0000, 1.0000, -9.4471e-03, 6.4024e+02, 0.33168, collision
4.57, 0.00, 0.1144, 0.0017, 1.3316e+00, 0.1103, 0.0008, -3.8531e-01, 0.0515, 0.0008, 4.7184e-02, 0.0329, 0.0012, 1.3063e-02, 0.0293, 0.0013, -1.0237e-03, 2.6529e+03, 1.34889, collision
4.68, 0.00, 0.1083, 0.0091, 3.9552e-02, 0.0696, 0.0228, -5.7012e-02, 0.1408, 0.0115, 3.7946e-04, 0.0804, 0.0025, 4.2333e-02, 0.0291, 0.0080, 1.7751e-02, 1.6814e+03, 0.86435, collision
4.33, 0.00, 0.1195, 0.0017, -4.3156e-02, 0.1299, 0.0006, 3.0694e-02, 0.0997, 0.0032, 4.8451e-02, 0.0554, 0.0024, 8.0697e-03, 0.0596, 0.0012, 5.1614e-04, 3.0363e+03, 1.54191, collision
4.82, 0.00, 0.0000, 1.0000, -3.6270e-02, 0.0000, 1.0000, 1.6893e-01, 0.0000, 1.0000, -8.7977e-02, 0.0000, 1.0000, 4.1454e-03, 0.0000, 1.0000, 4.4256e-04, 1.8076e+02, 0.09068, collision
4.65, 0.00, 0.1342, 0.0085, -6.4505e-03, 0.1254, 0.0106, -2.7228e-02, 0.0993, 0.0099, 2.2004e-01, 0.0738, 0.0009, -1.2846e-01, 0.0628, 0.0029, 1.4795e-02, 2.4155e+03, 1.23571, collision
