#delta_H, max e_m1, max e_m2, sim finish time (n Pmoon), wall_time
6.70, 0.0542, 0.1069, 1.0001e+07, 6657.24155
8.60, 0.0002, 0.0854, 2.0000e+03, 2.41052
8.70, 0.0002, 0.2561, 8.0000e+03, 9.86088
8.80, 0.0000, 0.0000, 0.0000e+00, 0.00084
8.90, 0.0000, 0.0000, 0.0000e+00, 0.00070
9.00, 0.0000, 0.0000, 0.0000e+00, 0.00060
9.10, 0.0000, 0.0000, 0.0000e+00, 0.00083
9.20, 0.0000, 0.0000, 0.0000e+00, 0.00061
9.30, 0.0000, 0.0000, 0.0000e+00, 0.00058
9.40, 0.0000, 0.0000, 0.0000e+00, 0.00054
9.50, 0.0000, 0.0000, 0.0000e+00, 0.00058
9.60, 0.0000, 0.0000, 0.0000e+00, 0.00057
9.70, 0.0000, 0.0000, 0.0000e+00, 0.00055
9.80, 0.0000, 0.0000, 0.0000e+00, 0.00060
9.90, 0.0000, 0.0000, 0.0000e+00, 0.00058
6.40, 0.0603, 0.1041, 1.0001e+07, 6630.13713
7.00, 0.0765, 0.1162, 1.0001e+07, 6643.78776
7.30, 0.1504, 0.1175, 1.0001e+07, 5989.94679
8.10, 0.0130, 0.1564, 1.0001e+07, 5691.43451
7.60, 0.0271, 0.1247, 1.0001e+07, 5687.03640
7.90, 0.0547, 0.1375, 1.0001e+07, 4819.78557
8.30, 0.0015, 0.1756, 1.0001e+07, 4967.22956
8.20, 0.0024, 0.1617, 1.0001e+07, 3977.02974
8.40, 0.0013, 0.1846, 1.0001e+07, 3968.81568
8.50, 0.0008, 0.2109, 1.0001e+07, 4015.66802
8.67, 0.0001, 0.0740, 1.0000e+03, 1.17031
8.66, 0.0001, 0.0192, 1.0000e+03, 1.19389
8.62, 0.0001, 0.0944, 1.0000e+03, 1.20253
8.71, 0.0001, 0.0890, 1.0000e+03, 1.15558
8.69, 0.0002, 0.1941, 2.0000e+03, 2.28720
8.64, 0.0003, 0.2534, 4.0000e+03, 4.52930
8.68, 0.0003, 0.1984, 5.0000e+03, 5.34580
8.61, 0.0002, 0.0919, 8.0000e+03, 6.78808
8.65, 0.0002, 0.2333, 7.0000e+03, 6.97046
8.70, 0.0002, 0.2561, 8.0000e+03, 6.97564
