# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
7.18, 0.00, 0.0089, 0.0000, 5.9857e-05, 0.1195, 0.0001, 1.2024e-01, 1.0000e+07, 2846.76610, tmax
4.83, 0.00, 0.0258, 0.0000, -9.5341e-04, 0.0832, 0.0001, 5.8239e-02, 1.0000e+07, 2852.81043, tmax
8.04, 0.00, 0.0007, 0.0000, -2.1476e-05, 0.1555, 0.0001, 4.0773e-02, 1.0000e+07, 2899.75829, tmax
7.23, 0.00, 0.0077, 0.0000, -1.2978e-05, 0.1209, 0.0001, 1.1509e-03, 1.0000e+07, 2676.31782, tmax
7.57, 0.00, 0.0028, 0.0000, -2.1877e-05, 0.1319, 0.0001, 1.1935e-02, 1.0000e+07, 2675.60962, tmax
7.74, 0.00, 0.0017, 0.0000, -9.2339e-06, 0.1387, 0.0003, 6.0621e-03, 1.0000e+07, 2679.98484, tmax
6.05, 0.00, 0.0343, 0.0000, 1.4933e-04, 0.0975, 0.0001, -1.2219e-02, 1.0000e+07, 2680.42248, tmax
7.89, 0.00, 0.0010, 0.0000, -4.5939e-05, 0.1462, 0.0000, 6.7504e-02, 1.0000e+07, 2675.61292, tmax
8.55, 0.00, 0.0001, 0.0000, 9.1515e-06, 0.2336, 0.0054, 2.2653e-01, 1.7486e+04, 4.68818, a>0.4R_H
4.98, 0.00, 0.0262, 0.0000, -4.8569e-04, 0.0847, 0.0001, 1.7792e-02, 1.0000e+07, 2684.27769, tmax
5.88, 0.00, 0.0317, 0.0000, -3.4215e-04, 0.0953, 0.0000, 4.5305e-02, 1.0000e+07, 2697.63345, tmax
8.93, 0.00, 0.0036, 0.0036, -2.1471e-04, 52522.8777, 1.0000, -1.0022e+00, 8.5381e+02, 0.22911, a<0
8.16, 0.00, 0.0004, 0.0000, 8.7165e-06, 0.1653, 0.0001, 1.6052e-01, 1.0000e+07, 2676.60104, tmax
5.75, 0.00, 0.0303, 0.0000, 1.6165e-04, 0.0935, 0.0001, -1.0311e-02, 1.0000e+07, 2705.56966, tmax
7.82, 0.00, 0.0013, 0.0000, -3.9695e-06, 0.1420, 0.0001, 1.3444e-01, 1.0000e+07, 2686.41890, tmax
8.23, 0.00, 0.0004, 0.0000, -1.6184e-05, 0.1723, 0.0001, 2.9269e-02, 1.0000e+07, 2684.85537, tmax
4.47, 0.00, 0.0248, 0.0000, 1.7147e-03, 0.0797, 0.0001, 8.8305e-02, 1.0000e+07, 2704.56328, tmax
7.22, 0.00, 0.0079, 0.0000, -7.5652e-05, 0.1206, 0.0001, 6.1329e-02, 1.0000e+07, 2716.73242, tmax
5.13, 0.00, 0.0267, 0.0000, 9.5834e-04, 0.0862, 0.0001, 9.8082e-02, 1.0000e+07, 2729.99436, tmax
6.22, 0.00, 0.0384, 0.0000, 3.3633e-05, 0.1002, 0.0001, 9.6525e-02, 1.0000e+07, 2684.83116, tmax
4.37, 0.00, 0.0246, 0.0000, 9.8516e-07, 0.0788, 0.0000, 8.0978e-02, 1.0000e+07, 2721.35943, tmax
5.09, 0.00, 0.0266, 0.0000, 9.7912e-05, 0.0859, 0.0001, 8.1680e-02, 1.0000e+07, 2738.68440, tmax
4.87, 0.00, 0.0259, 0.0000, 3.4043e-04, 0.0835, 0.0000, -7.4305e-03, 1.0000e+07, 2694.13669, tmax
4.59, 0.00, 0.0251, 0.0000, -7.7125e-04, 0.0808, 0.0000, 1.8789e-02, 1.0000e+07, 2762.92398, tmax
3.63, 0.00, 0.0291, 0.0000, 1.2227e-03, 0.0723, 0.0001, -1.1806e-02, 1.0000e+07, 2746.39508, tmax
6.21, 0.00, 0.0381, 0.0000, -2.5302e-04, 0.1000, 0.0001, 3.6740e-02, 1.0000e+07, 2717.35300, tmax
