5.07, 0.3940, 0.3687, 5.6493e+05, 489.48931
5.33, 0.3117, 0.3901, 1.1468e+06, 812.20481
5.17, 0.5972, 8508.2576, 5.6800e+05, 581.33430
4.59, 0.5585, 0.6244, 2.2300e+05, 224.71003
5.23, 0.5107, 39083.2749, 5.6900e+05, 479.77857
4.94, 0.6002, 4111.0268, 1.0410e+06, 769.41779
4.79, 0.3969, 0.5890, 3.2618e+05, 315.87937
5.18, 0.6134, 0.6397, 5.2600e+05, 443.47524
5.50, 0.6847, 0.4649, 7.1600e+05, 544.66313
5.08, 0.5502, 8544.1435, 1.0860e+06, 768.54082
5.42, 0.6360, 57.6053, 1.6060e+06, 1378.68877
5.34, 0.4968, 0.6902, 1.3762e+06, 966.85780
5.19, 0.5055, 5.7244, 6.2200e+05, 518.26873
4.95, 24.6175, 0.5571, 1.2180e+06, 888.46198
5.51, 0.4781, 18948.4060, 9.7800e+05, 714.96873
5.35, 0.4998, 0.3566, 7.3905e+05, 602.88855
5.24, 0.6236, 0.4067, 2.3943e+06, 1543.52731
5.09, 0.3235, 0.2685, 1.4285e+06, 996.27541
5.60, 0.5853, 8952.8771, 2.4690e+06, 1459.78771
5.52, 0.5608, 0.6354, 8.6356e+05, 646.15024
4.96, 0.2929, 0.2572, 1.2816e+06, 925.45989
5.70, 0.3915, 3896.2633, 1.5980e+06, 1074.81337
5.43, 0.2767, 0.3207, 2.1292e+06, 1319.44739
5.25, 0.4945, 0.5221, 6.2264e+05, 516.66511
4.97, 0.6059, 0.4827, 3.4800e+05, 314.51424
5.36, 0.5257, 23804.5187, 9.9200e+05, 766.67270
5.80, 14762.9590, 0.6723, 1.1980e+06, 833.30260
4.98, 0.3467, 0.3008, 4.0347e+05, 367.08988
5.61, 17569.3516, 2377462.8469, 1.4070e+06, 999.20651
5.53, 0.3496, 0.3379, 1.1548e+06, 857.13242
5.26, 0.5438, 41778.6966, 7.5200e+05, 593.82880
5.71, 0.5558, 0.5174, 1.1380e+06, 799.67189
5.44, 0.3466, 0.3712, 1.1171e+06, 849.11759
4.99, 0.3811, 0.4263, 4.6749e+05, 419.78106
5.37, 16227.4515, 0.5724, 1.6020e+06, 1047.56444
5.27, 0.5897, 44166.6654, 9.1200e+05, 678.39024
5.81, 0.6810, 0.7280, 1.4179e+06, 957.02006
5.45, 0.5797, 0.7098, 7.6209e+05, 609.16154
5.90, 0.6117, 0.8951, 1.3470e+06, 905.63930
