# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
8.51, 0.00, 0.0016, 0.0000, 1.2389e+00, 0.2176, 0.0004, 2.9194e-02, 1.0000e+07, 2118.12128, tmax
8.40, 0.00, 0.0025, 0.0001, 1.2379e+00, 0.1886, 0.0007, 9.8870e-02, 1.0000e+07, 2118.36691, tmax
8.46, 0.00, 0.0021, 0.0000, 1.2386e+00, 0.1997, 0.0006, 3.6371e-02, 1.0000e+07, 2119.45684, tmax
7.71, 0.00, 0.0207, 0.0000, 1.2484e+00, 0.1300, 0.0001, 9.9010e-02, 1.0000e+07, 2119.48695, tmax
8.50, 0.00, 0.0019, 0.0000, 1.2389e+00, 0.2102, 0.0006, 2.4176e-02, 1.0000e+07, 2120.30637, tmax
8.52, 0.00, 0.0017, 0.0000, 1.2386e+00, 0.2129, 0.0002, 1.0501e-01, 1.0000e+07, 2123.69578, tmax
8.27, 0.00, 0.0036, 0.0001, 1.2433e+00, 0.1674, 0.0001, 1.9571e-02, 1.0000e+07, 2128.22544, tmax
8.42, 0.00, 0.0023, 0.0000, 1.2390e+00, 0.1918, 0.0003, 2.3266e-03, 1.0000e+07, 2131.09239, tmax
6.34, 0.00, 0.4413, 0.0012, 4.3303e-01, 1.8403, 0.0003, -1.4139e+01, 3.0766e+06, 854.78676, a<0
7.75, 0.00, 0.1158, 0.0001, 1.2753e+00, 0.1363, 0.0005, -2.2076e-03, 1.0000e+07, 2162.66408, tmax
6.98, 0.00, 0.0913, 0.0004, 1.2572e+00, 0.1247, 0.0002, 1.0671e-01, 1.0000e+07, 2167.17564, tmax
8.60, 0.00, 0.0003, 0.0000, 3.1161e-03, 0.1646, 0.0283, 1.9557e-01, 1.1953e+03, 0.70932, a>0.4R_H
8.74, 0.00, 0.0002, 0.0001, 2.3060e-03, 0.1545, 0.1271, 1.1807e-01, 8.8797e+02, 0.52136, a>0.4R_H
7.91, 0.00, 0.0478, 0.0000, 1.2557e+00, 0.1419, 0.0001, 8.2053e-03, 1.0000e+07, 2107.22488, tmax
4.77, 0.00, 0.6048, 0.0003, -2.8058e-01, 0.6284, 0.0003, 1.6077e+00, 3.7892e+05, 175.64472, d<R_roche
7.53, 0.00, 0.1210, 0.0006, 1.2714e+00, 0.1230, 0.0007, 5.6033e-02, 1.0000e+07, 2183.46302, tmax
8.73, 0.00, 0.0002, 0.0002, 2.2335e-03, 0.0536, 0.0536, 6.3654e-02, 8.5381e+02, 0.50275, a>0.4R_H
8.36, 0.00, 0.0022, 0.0000, 1.2385e+00, 0.1810, 0.0003, 2.3251e-02, 1.0000e+07, 2123.91212, tmax
4.38, 0.00, 7391.1721, 0.0002, -1.1564e+00, 0.8091, 0.0012, -6.4865e-01, 1.6462e+05, 88.72002, a<0
3.66, 0.00, 0.5495, 0.0008, -6.2495e-01, 0.4544, 0.0013, 2.0543e+00, 1.2695e+05, 72.10449, d<R_roche
3.50, 0.00, 0.3635, 0.0090, 1.0724e+00, 0.2773, 0.0030, 3.0607e-01, 8.9878e+04, 53.43544, collision
6.07, 0.00, 0.8486, 0.0013, 2.3535e+01, 0.6347, 0.0001, -6.6832e-01, 1.8651e+06, 598.25795, a>0.4R_H
7.20, 0.00, 0.1794, 0.0011, 1.3063e+00, 0.1736, 0.0005, 9.2099e-02, 1.0000e+07, 2219.71620, tmax
7.49, 0.00, 0.1460, 0.0007, 1.2890e+00, 0.1242, 0.0002, 2.7529e-02, 1.0000e+07, 2220.44329, tmax
3.97, 0.00, 0.3037, 0.0006, 3.0778e+00, 0.2977, 0.0009, -2.0454e-01, 2.6353e+05, 132.60492, collision
5.92, 0.00, 0.4098, 0.0013, 4.1119e-01, 0.6218, 0.0002, -1.9690e+00, 3.2842e+06, 910.28635, collision
8.13, 0.00, 0.0092, 0.0002, 1.2491e+00, 0.1557, 0.0005, 5.2514e-02, 1.0000e+07, 2107.46610, tmax
7.47, 0.00, 0.1538, 0.0007, 1.2971e+00, 0.1261, 0.0003, 9.3106e-03, 1.0000e+07, 2235.26134, tmax
7.81, 0.00, 0.0603, 0.0000, 1.2534e+00, 0.1382, 0.0002, 3.7066e-02, 1.0000e+07, 2111.25176, tmax
4.54, 0.00, 0.3810, 0.0004, -4.0490e+00, 0.4002, 0.0015, 2.3750e+00, 2.3269e+05, 118.53633, collision
7.98, 0.00, 0.0155, 0.0000, 1.2529e+00, 0.1470, 0.0001, 5.8958e-03, 1.0000e+07, 2092.66063, tmax
4.19, 0.00, 0.2877, 0.0003, 1.6939e+01, 0.2711, 0.0014, -4.5362e-01, 3.2801e+05, 155.58765, collision
4.78, 0.00, 0.5690, 0.0001, 1.7860e+01, 0.5380, 0.0002, -5.1089e-01, 2.7047e+05, 133.00858, collision
4.25, 0.00, 0.6178, 0.0001, 1.4202e-01, 0.5802, 0.0006, 8.4150e-01, 3.5874e+05, 167.70964, d<R_roche
7.31, 0.00, 0.2107, 0.0008, 1.3525e+00, 0.1720, 0.0003, -2.0943e-03, 1.0000e+07, 2288.47396, tmax
8.97, 0.00, 0.0002, 0.0002, 2.2378e-03, 49866.1482, 1.0000, -1.0022e+00, 8.5381e+02, 0.52376, a<0
7.13, 0.00, 0.5076, 0.0011, 8.7178e-01, 0.6830, 0.0004, 1.6811e+00, 8.4716e+06, 1960.16191, a>0.4R_H
4.62, 0.00, 0.5801, 0.0004, 3.3370e-02, 0.7517, 0.0009, 2.1031e+00, 2.2674e+05, 113.12037, d<R_roche
7.46, 0.00, 0.1479, 0.0007, 1.2795e+00, 0.1417, 0.0002, 7.1950e-02, 1.0000e+07, 2209.59721, tmax
7.56, 0.00, 0.0695, 0.0006, 1.2533e+00, 0.1252, 0.0006, 6.4820e-03, 1.0000e+07, 2120.71266, tmax
4.07, 0.00, 0.3260, 0.0004, -5.9359e+00, 0.2701, 0.0009, -7.5608e-02, 2.7807e+05, 136.25514, collision
8.39, 0.00, 0.0023, 0.0001, 1.2385e+00, 0.1881, 0.0003, 1.8748e-02, 1.0000e+07, 2124.56465, tmax
3.91, 0.00, 0.3018, 0.0002, -1.7453e+01, 0.2548, 0.0007, -4.6806e-01, 1.9840e+05, 102.77965, collision
5.51, 0.00, 0.4119, 0.0001, 2.5487e-01, 0.4020, 0.0002, -1.9887e+00, 1.1406e+06, 410.09538, collision
6.17, 0.00, 0.3765, 0.0011, 9.5719e-01, 0.3119, 0.0002, -1.9724e+00, 2.3200e+06, 695.95402, collision
