# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, eM4_max, eM4_min, dA4_over_A0, eM5_max, eM5_min, dA5_over_A0, t_end(PM), wall_time, fate
3.86, 0.00, 0.0000, 1.0000, -1.3635e-01, 0.0000, 1.0000, 1.7832e-01, 0.0000, 1.0000, 9.3152e-02, 0.0000, 1.0000, -2.6808e-03, 0.0000, 1.0000, 3.1504e-02, 4.3572e+01, 0.08228, collision
3.98, 0.00, 0.0000, 1.0000, -6.4416e-02, 0.0000, 1.0000, 1.3099e-02, 0.0000, 1.0000, 3.2021e-01, 0.0000, 1.0000, 3.5025e-01, 0.0000, 1.0000, 1.7284e-02, 1.6866e+02, 0.20324, collision
3.83, 0.00, 0.0000, 1.0000, -2.1461e-02, 0.0000, 1.0000, 5.9929e-03, 0.0000, 1.0000, -2.9268e-02, 0.0000, 1.0000, 8.4465e-02, 0.0000, 1.0000, 5.4182e-02, 7.9691e+01, 0.10029, collision
3.63, 0.00, 0.0000, 1.0000, -9.1431e-02, 0.0000, 1.0000, 2.0921e-01, 0.0000, 1.0000, -5.4843e-02, 0.0000, 1.0000, 2.6415e-02, 0.0000, 1.0000, -1.6888e-03, 2.5826e+01, 0.06529, collision
3.93, 0.00, 0.0000, 1.0000, -4.4475e-02, 0.0000, 1.0000, -1.4208e-03, 0.0000, 1.0000, 1.1883e-03, 0.0000, 1.0000, 3.1486e-01, 0.0000, 1.0000, -1.2780e-01, 8.4684e+01, 0.10272, collision
3.58, 0.00, 0.0000, 1.0000, 2.9685e-02, 0.0000, 1.0000, -4.5380e-02, 0.0000, 1.0000, -2.9531e-02, 0.0000, 1.0000, 7.6755e-02, 0.0000, 1.0000, 1.0313e-02, 8.4776e+01, 0.10896, collision
3.97, 0.00, 0.0000, 1.0000, -9.9625e-02, 0.0000, 1.0000, 1.6823e-01, 0.0000, 1.0000, -4.8159e-02, 0.0000, 1.0000, 2.5701e-01, 0.0000, 1.0000, -9.7015e-02, 8.3875e+01, 0.10385, collision
3.59, 0.00, 0.0000, 1.0000, 1.7164e-03, 0.0000, 1.0000, -3.8376e-03, 0.0000, 1.0000, -1.2828e-02, 0.0000, 1.0000, 2.7671e-01, 0.0000, 1.0000, -1.6477e-01, 7.6882e+01, 0.11360, collision
3.55, 0.00, 0.0000, 1.0000, 6.9734e-02, 0.0000, 1.0000, -6.7897e-02, 0.0000, 1.0000, 5.3003e-02, 0.0000, 1.0000, 1.1222e-02, 0.0000, 1.0000, -1.4063e-03, 7.3366e+01, 0.11818, collision
3.87, 0.00, 0.0000, 1.0000, 3.8158e-01, 0.0000, 1.0000, -2.5827e-01, 0.0000, 1.0000, 1.7314e-01, 0.0000, 1.0000, -7.5921e-02, 0.0000, 1.0000, 4.3718e-02, 8.6545e+01, 0.11477, collision
3.69, 0.00, 0.0000, 1.0000, -1.0838e-01, 0.0000, 1.0000, -3.6974e-02, 0.0000, 1.0000, 4.8448e-01, 0.0000, 1.0000, -9.4477e-02, 0.0000, 1.0000, 7.4440e-03, 8.8040e+01, 0.12277, collision
3.56, 0.00, 0.0000, 1.0000, -2.1272e-02, 0.0000, 1.0000, -6.1376e-02, 0.0000, 1.0000, 9.5174e-02, 0.0000, 1.0000, 5.7925e-02, 0.0000, 1.0000, 5.2886e-03, 8.9836e+01, 0.12500, collision
3.75, 0.00, 0.0000, 1.0000, 1.3636e-01, 0.0000, 1.0000, -1.2854e-01, 0.0000, 1.0000, -9.0977e-03, 0.0000, 1.0000, 1.6108e-02, 0.0000, 1.0000, 4.2146e-02, 1.0035e+02, 0.12323, collision
3.90, 0.00, 0.0000, 1.0000, -9.0729e-02, 0.0000, 1.0000, 5.6852e-01, 0.0000, 1.0000, -8.4516e-03, 0.0000, 1.0000, -2.4650e-01, 0.0000, 1.0000, 2.4122e-02, 8.5379e+01, 0.13133, collision
3.61, 0.00, 0.0000, 1.0000, -8.0281e-03, 0.0000, 1.0000, 2.3507e-01, 0.0000, 1.0000, -1.5372e-01, 0.0000, 1.0000, 2.6743e-03, 0.0000, 1.0000, 8.1010e-03, 1.2407e+02, 0.15098, collision
3.91, 0.00, 0.0000, 1.0000, -8.8403e-02, 0.0000, 1.0000, 2.8776e-01, 0.0000, 1.0000, -1.8502e-01, 0.0000, 1.0000, 5.1270e-01, 0.0000, 1.0000, -1.8081e-01, 1.1219e+02, 0.15805, collision
3.92, 0.00, 0.0000, 1.0000, -1.2410e-02, 0.0000, 1.0000, 4.6676e-03, 0.0000, 1.0000, 1.2021e-01, 0.0000, 1.0000, -9.3074e-02, 0.0000, 1.0000, 2.4425e-02, 3.5031e+01, 0.05706, collision
4.04, 0.00, 0.0000, 1.0000, -4.9380e-02, 0.0000, 1.0000, 7.1174e-02, 0.0000, 1.0000, 2.9971e-02, 0.0000, 1.0000, -2.0242e-04, 0.0000, 1.0000, 7.0909e-03, 1.8362e+02, 0.20840, collision
3.60, 0.00, 0.0000, 1.0000, -9.8593e-02, 0.0000, 1.0000, 2.1511e-01, 0.0000, 1.0000, -4.3246e-02, 0.0000, 1.0000, 1.3906e-02, 0.0000, 1.0000, 9.9659e-03, 1.8885e+02, 0.22133, collision
3.65, 0.00, 0.0000, 1.0000, -2.4146e-02, 0.0000, 1.0000, 8.0956e-03, 0.0000, 1.0000, 5.6955e-02, 0.0000, 1.0000, -4.6049e-02, 0.0000, 1.0000, 6.7314e-02, 1.9238e+02, 0.25415, collision
4.00, 0.00, 0.0000, 1.0000, 1.7275e-01, 0.0000, 1.0000, -1.4105e-01, 0.0000, 1.0000, 2.0126e-01, 0.0000, 1.0000, -2.0166e-01, 0.0000, 1.0000, 7.5369e-02, 5.8540e+02, 0.66619, collision
4.03, 0.00, 0.0000, 1.0000, -1.1508e-02, 0.0000, 1.0000, 9.8103e-02, 0.0000, 1.0000, -7.9251e-02, 0.0000, 1.0000, 1.0822e-02, 0.0000, 1.0000, 1.5847e-02, 6.9546e+02, 0.77264, collision
4.08, 0.00, 0.0559, 0.0288, -1.0030e-02, 0.0771, 0.0285, -9.1013e-03, 0.0754, 0.0284, 1.1190e-03, 0.1367, 0.0152, 2.7205e-02, 0.1105, 0.0504, 3.8566e-02, 1.2212e+03, 1.33171, collision
4.35, 0.00, 0.0474, 0.0105, -2.7913e-03, 0.0436, 0.0092, -1.6800e-02, 0.0773, 0.0024, 1.6255e-01, 0.0716, 0.0082, -9.4204e-02, 0.0481, 0.0067, 2.9388e-03, 1.5595e+03, 1.67989, collision
4.60, 0.00, 0.0621, 0.0041, -3.1609e-02, 0.1043, 0.0061, 5.6862e-02, 0.0547, 0.0094, 8.6955e-03, 0.0606, 0.0145, 1.5156e-02, 0.0534, 0.0128, 5.2969e-03, 1.3742e+03, 1.50281, collision
4.13, 0.00, 0.1605, 0.0046, -1.4330e-01, 0.3023, 0.0049, 5.9060e-02, 0.1850, 0.0127, -7.1449e-02, 0.2303, 0.0127, 4.8163e-01, 0.1580, 0.0022, 2.6822e-02, 2.0101e+03, 2.25516, collision
4.63, 0.00, 0.0893, 0.0024, 3.1219e-01, 0.0780, 0.0053, -2.2385e-01, 0.0579, 0.0075, -2.0314e-02, 0.0980, 0.0268, 3.9055e-02, 0.0794, 0.0032, 1.1657e-02, 1.6653e+03, 1.80944, collision
4.34, 0.00, 0.0687, 0.0065, 2.1397e-02, 0.1551, 0.0049, -9.5867e-02, 0.1672, 0.0132, 8.5317e-02, 0.0766, 0.0045, 5.8625e-02, 0.0558, 0.0039, 2.4373e-02, 2.2675e+03, 2.44349, collision
4.64, 0.00, 0.1007, 0.0076, -8.8262e-02, 0.1134, 0.0063, 8.3441e-02, 0.0723, 0.0151, 7.2510e-02, 0.0717, 0.0021, 2.0625e-02, 0.0377, 0.0023, -4.4324e-03, 1.6366e+03, 1.76974, collision
4.31, 0.00, 0.1482, 0.0039, -6.4713e-02, 0.1193, 0.0058, 5.3178e-02, 0.0698, 0.0014, 5.4548e-02, 0.0682, 0.0017, 1.4681e-02, 0.0420, 0.0063, 6.4193e-03, 2.4865e+03, 2.69115, collision
4.67, 0.00, 0.0498, 0.0278, -3.1614e-02, 0.1167, 0.1006, -3.0035e-02, 0.1031, 0.0895, 6.8846e-02, 0.1482, 0.0824, 6.5379e-02, 0.0938, 0.0517, 5.8590e-03, 8.9360e+02, 0.95811, collision
4.70, 0.00, 0.0000, 1.0000, -5.6564e-03, 0.0000, 1.0000, 8.7565e-02, 0.0000, 1.0000, -1.1874e-01, 0.0000, 1.0000, 3.3326e-01, 0.0000, 1.0000, -1.6753e-01, 3.6725e+02, 0.39031, collision
4.71, 0.00, 0.0000, 1.0000, -2.5176e-02, 0.0000, 1.0000, -6.0047e-02, 0.0000, 1.0000, 5.1271e-02, 0.0000, 1.0000, 6.2760e-02, 0.0000, 1.0000, 7.8360e-02, 3.7127e+02, 0.42610, collision
4.69, 0.00, 0.0000, 1.0000, 1.3184e-01, 0.0000, 1.0000, -1.3727e-01, 0.0000, 1.0000, 4.6386e-02, 0.0000, 1.0000, 4.6535e-03, 0.0000, 1.0000, -4.0764e-04, 5.4319e+02, 0.58883, collision
4.61, 0.00, 0.0862, 0.0033, -2.3925e-02, 0.0953, 0.0100, -6.1630e-02, 0.0856, 0.0139, 1.6652e-01, 0.0879, 0.0064, 8.2399e-03, 0.0904, 0.0081, 1.2465e-02, 2.2883e+03, 2.82810, collision
4.72, 0.00, 0.0000, 1.0000, 1.5691e-01, 0.0000, 1.0000, -1.8432e-01, 0.0000, 1.0000, 1.8425e-01, 0.0000, 1.0000, -6.5080e-02, 0.0000, 1.0000, 1.3024e-02, 3.8166e+02, 0.41563, collision
4.45, 0.00, 0.1277, 0.0055, 1.8516e-01, 0.1466, 0.0058, 8.3631e-01, 0.2539, 0.0058, -4.4931e-03, 0.2271, 0.0056, -4.8156e-01, 0.0800, 0.0005, -1.6394e-02, 2.6709e+03, 2.98678, collision
4.06, 0.00, 0.0813, 0.0065, 3.7031e-02, 0.0866, 0.0041, -4.0598e-02, 0.1324, 0.0065, 1.5367e-01, 0.0865, 0.0098, -1.6794e-01, 0.1313, 0.0096, 9.0490e-02, 2.9126e+03, 3.23658, collision
4.41, 0.00, 0.0419, 0.0031, -1.7365e-02, 0.0604, 0.0013, -7.5648e-02, 0.0730, 0.0069, 1.6175e-01, 0.0705, 0.0015, 1.6293e-03, 0.0483, 0.0012, 1.9968e-02, 2.8653e+03, 3.08405, collision
4.23, 0.00, 0.0398, 0.0005, -1.7212e-02, 0.1390, 0.0033, 1.8710e-01, 0.1026, 0.0052, -1.8067e-01, 0.1323, 0.0021, -1.1242e-01, 0.0515, 0.0023, 4.2220e-01, 3.0475e+03, 3.28778, collision
4.05, 0.00, 0.0825, 0.0102, -1.7377e-02, 0.1180, 0.0111, 2.4387e-01, 0.1204, 0.0062, -1.6845e-01, 0.1155, 0.0071, -4.9388e-02, 0.1078, 0.0076, 9.1197e-02, 3.1850e+03, 3.49416, collision
4.59, 0.00, 0.1132, 0.0055, -9.3315e-02, 0.2731, 0.0040, 7.5147e-01, 0.1231, 0.0009, -2.2065e-01, 0.2788, 0.0069, 3.1915e-01, 0.1039, 0.0010, -2.6867e-01, 2.8813e+03, 3.18962, collision
4.07, 0.00, 0.0854, 0.0040, -7.4411e-03, 0.0896, 0.0027, 6.4892e-03, 0.0938, 0.0073, -1.4412e-02, 0.0949, 0.0058, -9.4213e-03, 0.0743, 0.0092, 7.8789e-02, 3.2534e+03, 3.54996, collision
4.62, 0.00, 0.0453, 0.0020, -4.6194e-03, 0.0438, 0.0009, -3.4023e-03, 0.0835, 0.0006, -2.3411e-02, 0.0876, 0.0057, 5.4976e-02, 0.0678, 0.0080, 3.0548e-02, 2.6478e+03, 3.18867, collision
4.39, 0.00, 0.0978, 0.0035, -5.9206e-03, 0.0808, 0.0113, -1.6908e-02, 0.1105, 0.0047, 8.2316e-02, 0.1160, 0.0027, -4.8460e-02, 0.0976, 0.0004, 2.7553e-02, 3.3920e+03, 3.66080, collision
4.85, 0.00, 0.0000, 1.0000, 9.0401e-02, 0.0000, 1.0000, -9.9294e-02, 0.0000, 1.0000, 4.9284e-02, 0.0000, 1.0000, -7.1721e-03, 0.0000, 1.0000, 1.1446e-02, 2.7656e+02, 0.29481, collision
4.82, 0.00, 0.0000, 1.0000, 6.0313e-02, 0.0000, 1.0000, -4.2242e-02, 0.0000, 1.0000, 4.2159e-02, 0.0000, 1.0000, 1.3452e-02, 0.0000, 1.0000, 6.7690e-03, 4.7022e+02, 0.50514, collision
4.73, 0.00, 0.0911, 0.0598, 3.5501e-01, 0.2093, 0.1847, -3.0403e-01, 0.0926, 0.0633, 1.3351e-01, 0.0981, 0.0376, 1.0306e-01, 0.1668, 0.0716, -3.6359e-02, 1.0097e+03, 1.12891, collision
4.80, 0.00, 0.0000, 1.0000, -1.0228e-01, 0.0000, 1.0000, 1.3372e-01, 0.0000, 1.0000, 4.9404e-02, 0.0000, 1.0000, 6.7149e-03, 0.0000, 1.0000, 1.5904e-03, 6.6741e+02, 0.71500, collision
4.79, 0.00, 0.0000, 1.0000, -6.9214e-02, 0.0000, 1.0000, 5.5529e-02, 0.0000, 1.0000, 8.4551e-02, 0.0000, 1.0000, 1.0421e-02, 0.0000, 1.0000, 9.7427e-04, 7.2352e+02, 0.77137, collision
4.88, 0.00, 0.0000, 1.0000, -1.5333e-02, 0.0000, 1.0000, -6.3742e-02, 0.0000, 1.0000, 1.5528e-01, 0.0000, 1.0000, 5.8038e-03, 0.0000, 1.0000, 4.3114e-03, 1.9331e+02, 0.20638, collision
4.86, 0.00, 0.0000, 1.0000, -4.0394e-04, 0.0000, 1.0000, -4.0256e-02, 0.0000, 1.0000, -1.7230e-02, 0.0000, 1.0000, 1.2732e-01, 0.0000, 1.0000, 2.0091e-02, 4.9119e+02, 0.52413, collision
4.74, 0.00, 0.1037, 0.0140, -3.2319e-02, 0.1056, 0.0345, 2.8065e-01, 0.2257, 0.0460, -2.1567e-01, 0.1351, 0.0529, 1.8886e-01, 0.0970, 0.0314, -5.9672e-02, 1.0919e+03, 1.20969, collision
4.87, 0.00, 0.0000, 1.0000, -7.5262e-02, 0.0000, 1.0000, 7.6247e-02, 0.0000, 1.0000, 6.3090e-02, 0.0000, 1.0000, 6.1099e-03, 0.0000, 1.0000, 2.2238e-02, 3.9714e+02, 0.42915, collision
4.83, 0.00, 0.0000, 1.0000, -6.3019e-02, 0.0000, 1.0000, 2.8741e-02, 0.0000, 1.0000, 7.3517e-02, 0.0000, 1.0000, 3.5035e-02, 0.0000, 1.0000, 1.4840e-02, 6.9571e+02, 0.76307, collision
4.66, 0.00, 0.1216, 0.0103, 1.3601e-01, 0.0811, 0.0053, -1.4823e-01, 0.0797, 0.0069, 5.8665e-02, 0.0670, 0.0067, -3.5317e-03, 0.0336, 0.0090, 2.8031e-03, 2.2852e+03, 2.49060, collision
4.27, 0.00, 0.0558, 0.0041, 2.4782e-01, 0.0575, 0.0030, -1.6942e-01, 0.0840, 0.0013, 8.3326e-03, 0.0793, 0.0021, -8.7081e-04, 0.0390, 0.0015, 2.4946e-02, 3.9921e+03, 4.29396, collision
4.36, 0.00, 0.0491, 0.0008, 6.3270e-04, 0.0482, 0.0035, -1.5834e-02, 0.0652, 0.0039, 4.0214e-01, 0.0675, 0.0011, -2.2613e-01, 0.0407, 0.0012, 8.9067e-03, 3.9905e+03, 4.33629, collision
4.44, 0.00, 0.0526, 0.0033, 7.7587e-04, 0.0511, 0.0037, -3.2907e-02, 0.0978, 0.0013, 2.8809e-02, 0.0756, 0.0027, 5.1998e-02, 0.0670, 0.0004, 2.8879e-03, 4.0225e+03, 4.31406, collision
