# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, eM3_max, eM3_min, dA3_over_A0, t_end(PM), wall_time, fate
6.07, 0.00, 0.3610, 0.0000, -1.5501e-02, 0.4635, 0.0000, 7.7698e+00, 0.2156, 0.0000, 2.3777e-01, 5.9506e+06, 3859.33519, collision
6.71, 0.00, 0.4517, 0.0000, -1.6545e-01, 0.8335, 0.0000, 1.9165e+00, 0.7597, 0.0000, 2.1590e-01, 5.9449e+06, 3957.12675, d<R_roche
6.98, 0.00, 0.7179, 0.0000, -1.0018e-01, 0.6627, 0.0001, 1.5356e-01, 0.3397, 0.0000, 1.3395e+00, 7.2647e+06, 4698.08913, d<R_roche
7.01, 0.00, 0.6042, 0.0000, 7.0622e-02, 0.4727, 0.0000, 1.2831e-01, 0.5497, 0.0001, 1.9025e-01, 7.3271e+06, 4759.30337, d<R_roche
9.85, 0.00, 0.0005, 0.0002, 1.1049e-04, 0.0118, 0.0028, 1.5913e-02, 0.2320, 0.0495, 9.3302e-02, 1.0587e+03, 0.74897, a>0.4R_H
10.62, 0.00, 0.0004, 0.0004, 1.3971e-05, 0.0152, 0.0152, -4.0682e-03, 237465.1698, 1.0000, -1.0008e+00, 8.5381e+02, 0.60130, a<0
10.28, 0.00, 0.0006, 0.0005, 6.3333e-06, 0.0214, 0.0191, 2.8989e-02, 0.4000, 0.3815, -2.6598e-02, 8.8797e+02, 0.62446, a>0.4R_H
6.05, 0.00, 0.3268, 0.0000, -5.2484e-02, 0.4708, 0.0000, 9.4277e-01, 0.1964, 0.0000, 1.5377e-01, 5.9033e+06, 3827.49504, collision
7.77, 0.00, 0.5825, 0.0000, 3.4291e-02, 0.9424, 0.0000, 4.8614e+00, 0.5051, 0.0001, -5.6563e-01, 7.0521e+06, 4795.48103, a>0.4R_H
4.06, 0.00, 0.2739, 0.0022, -5.1809e-02, 0.2618, 0.0010, 3.3483e-01, 0.2298, 0.0025, 3.3927e-02, 1.1095e+05, 85.36715, collision
5.48, 0.00, 44.6681, 0.0000, -1.2335e+00, 0.3552, 0.0000, -1.0671e+00, 0.1292, 0.0000, 6.7049e-02, 8.1140e+06, 5153.77200, a<0
10.94, 0.00, 0.0072, 0.0072, -6.7375e-03, 0.0222, 0.0222, -1.1573e-02, 677478.5465, 1.0000, -1.0003e+00, 8.5381e+02, 0.60891, a<0
7.16, 0.00, 0.5691, 0.0000, 9.2847e-02, 0.4465, 0.0000, 1.5379e-01, 0.3507, 0.0000, 6.4588e-02, 8.4064e+06, 5330.80631, d<R_roche
6.42, 0.00, 0.3960, 0.0000, 4.1099e-01, 0.4043, 0.0001, 1.3882e+00, 0.3981, 0.0001, -6.5947e-01, 1.7963e+06, 1254.70020, collision
3.56, 0.00, 0.0000, 1.0000, -5.6442e-02, 0.0000, 1.0000, -1.3581e-01, 0.0000, 1.0000, 1.3860e+00, 9.4818e+01, 0.07792, collision
6.70, 0.00, 0.5301, 0.0000, -2.0473e-02, 0.5230, 0.0000, 1.5493e+00, 0.4352, 0.0000, -4.0071e-01, 5.1565e+06, 3455.87978, d<R_roche
9.95, 0.00, 0.0004, 0.0002, -6.9140e-05, 0.0080, 0.0018, 1.0519e-02, 0.2403, 0.1235, 5.7942e-02, 9.2212e+02, 0.65007, a>0.4R_H
7.21, 0.00, 0.4233, 0.0000, 6.9495e-01, 0.4290, 0.0000, -2.7282e-01, 0.3962, 0.0000, 1.5128e-01, 9.2326e+06, 5828.98977, collision
5.53, 0.00, 0.2302, 0.0000, 1.4644e-01, 0.2049, 0.0000, 2.5530e-01, 0.1019, 0.0001, 5.9161e-02, 9.4349e+06, 5883.40181, collision
9.74, 0.00, 0.0099, 0.0000, 1.8894e-01, 0.0201, 0.0000, 1.4236e-02, 0.2239, 0.0003, -1.6003e-02, 1.0000e+07, 6063.74864, tmax
9.94, 0.00, 0.0004, 0.0004, -5.1458e-05, 0.0111, 0.0043, 1.2166e-02, 0.2119, 0.1098, 1.0199e-01, 9.2212e+02, 0.67494, a>0.4R_H
10.41, 0.00, 0.0010, 0.0010, 4.8879e-05, 0.0023, 0.0023, 3.3359e-03, 197719.9845, 1.0000, -1.0010e+00, 8.5381e+02, 0.62775, a<0
10.26, 0.00, 0.0006, 0.0006, -7.3585e-05, 0.0102, 0.0102, 1.0237e-02, 0.1604, 0.1604, 2.6551e-02, 8.5381e+02, 0.60085, a>0.4R_H
9.77, 0.00, 0.0082, 0.0000, 1.8948e-01, 0.0189, 0.0000, 3.4455e-03, 0.2369, 0.0004, 3.6130e-02, 1.0000e+07, 6067.70961, tmax
4.81, 0.00, 0.3254, 0.0001, 4.6851e-01, 0.4854, 0.0001, 1.6061e+00, 0.2432, 0.0001, -6.0447e-01, 3.2343e+06, 2208.56466, collision
5.91, 0.00, 0.2855, 0.0000, 1.9101e+00, 0.3443, 0.0000, -4.8958e-01, 0.1947, 0.0000, 1.2470e-01, 4.9428e+06, 3244.64655, collision
8.91, 0.00, 0.0076, 0.0000, 1.8970e-01, 0.0170, 0.0000, 1.2041e-02, 0.0840, 0.0001, 3.9243e-02, 1.0000e+07, 6073.44173, tmax
