# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
5.10, 0.00, 0.0276, 0.0002, 1.7568e-01, 0.0842, 0.0001, -5.4306e-03, 1.0000e+05, 49.95713, tmax
5.07, 0.00, 0.0265, 0.0002, 1.7504e-01, 0.0833, 0.0007, 8.0135e-02, 1.0000e+05, 50.38187, tmax
5.11, 0.00, 0.0249, 0.0001, 1.7605e-01, 0.0837, 0.0010, -8.3889e-03, 1.0000e+05, 49.89656, tmax
5.12, 0.00, 0.0268, 0.0002, 1.7397e-01, 0.0851, 0.0008, 4.8515e-02, 1.0000e+05, 49.90305, tmax
5.13, 0.00, 0.0257, 0.0002, 1.7437e-01, 0.0856, 0.0010, 6.9108e-02, 1.0000e+05, 49.87092, tmax
5.14, 0.00, 0.0283, 0.0000, 1.7384e-01, 0.0860, 0.0014, 4.5850e-02, 1.0000e+05, 49.88549, tmax
5.15, 0.00, 0.0253, 0.0002, 1.7557e-01, 0.0852, 0.0005, -9.5203e-04, 1.0000e+05, 49.89096, tmax
5.17, 0.00, 0.0255, 0.0001, 1.7471e-01, 0.0850, 0.0005, 2.0611e-02, 1.0000e+05, 49.86671, tmax
5.18, 0.00, 0.0260, 0.0002, 1.7407e-01, 0.0855, 0.0007, 4.8652e-02, 1.0000e+05, 49.87244, tmax
5.16, 0.00, 0.0276, 0.0002, 1.7468e-01, 0.0854, 0.0003, 7.6068e-02, 1.0000e+05, 50.00031, tmax
5.20, 0.00, 0.0280, 0.0002, 1.7456e-01, 0.0857, 0.0009, 6.2119e-02, 1.0000e+05, 49.90531, tmax
5.19, 0.00, 0.0273, 0.0002, 1.7417e-01, 0.0862, 0.0012, 4.6633e-02, 1.0000e+05, 49.91823, tmax
5.21, 0.00, 0.0283, 0.0003, 1.7629e-01, 0.0868, 0.0007, -7.6287e-03, 1.0000e+05, 49.88595, tmax
5.22, 0.00, 0.0238, 0.0004, 1.7752e-01, 0.0865, 0.0005, 9.1997e-02, 1.0000e+05, 49.89342, tmax
5.24, 0.00, 0.0250, 0.0000, 1.7633e-01, 0.0863, 0.0012, -6.7214e-03, 1.0000e+05, 49.92087, tmax
5.25, 0.00, 0.0250, 0.0002, 1.7660e-01, 0.0847, 0.0001, -1.0930e-02, 1.0000e+05, 49.90440, tmax
5.26, 0.00, 0.0276, 0.0002, 1.7643e-01, 0.0859, 0.0008, -7.8842e-03, 1.0000e+05, 49.91820, tmax
5.27, 0.00, 0.0240, 0.0000, 1.7574e-01, 0.0868, 0.0008, 8.1836e-02, 1.0000e+05, 49.80061, tmax
5.28, 0.00, 0.0245, 0.0002, 1.7663e-01, 0.0873, 0.0008, -9.7027e-03, 1.0000e+05, 49.83283, tmax
5.23, 0.00, 0.0280, 0.0001, 1.7436e-01, 0.0859, 0.0007, 4.9059e-02, 1.0000e+05, 51.83611, tmax
5.29, 0.00, 0.0237, 0.0004, 1.7795e-01, 0.0857, 0.0002, 9.5280e-02, 1.0000e+05, 52.13558, tmax
5.33, 0.00, 0.0247, 0.0004, 1.7557e-01, 0.0863, 0.0013, 2.0906e-02, 1.0000e+05, 49.79484, tmax
5.30, 0.00, 0.0279, 0.0003, 1.7501e-01, 0.0866, 0.0003, 3.4331e-02, 1.0000e+05, 49.95262, tmax
5.31, 0.00, 0.0242, 0.0002, 1.7761e-01, 0.0857, 0.0007, 9.2550e-02, 1.0000e+05, 49.87429, tmax
5.34, 0.00, 0.0261, 0.0002, 1.7778e-01, 0.0871, 0.0004, 9.2809e-02, 1.0000e+05, 49.68214, tmax
5.32, 0.00, 0.0289, 0.0002, 1.7518e-01, 0.0860, 0.0008, 3.1183e-02, 1.0000e+05, 50.03184, tmax
5.35, 0.00, 0.0244, 0.0004, 1.7762e-01, 0.0871, 0.0009, 9.4426e-02, 1.0000e+05, 49.71505, tmax
5.36, 0.00, 0.0245, 0.0004, 1.7680e-01, 0.0862, 0.0005, -1.0365e-02, 1.0000e+05, 49.64555, tmax
5.37, 0.00, 0.0287, 0.0007, 1.7606e-01, 0.0870, 0.0005, 5.8035e-03, 1.0000e+05, 49.68154, tmax
5.38, 0.00, 0.0256, 0.0001, 1.7500e-01, 0.0855, 0.0017, 4.6643e-02, 1.0000e+05, 49.64275, tmax
5.39, 0.00, 0.0268, 0.0002, 1.7630e-01, 0.0869, 0.0011, 8.1232e-02, 1.0000e+05, 49.91200, tmax
5.40, 0.00, 0.0245, 0.0004, 1.7663e-01, 0.0879, 0.0004, -1.6922e-03, 1.0000e+05, 49.66520, tmax
5.42, 0.00, 0.0250, 0.0004, 1.7796e-01, 0.0884, 0.0007, 9.3370e-02, 1.0000e+05, 49.75045, tmax
5.41, 0.00, 0.0249, 0.0003, 1.7542e-01, 0.0881, 0.0007, 5.0254e-02, 1.0000e+05, 50.15790, tmax
5.43, 0.00, 0.0245, 0.0007, 1.7726e-01, 0.0883, 0.0009, -9.9961e-03, 1.0000e+05, 49.67815, tmax
5.45, 0.00, 0.0242, 0.0002, 1.7551e-01, 0.0875, 0.0004, 3.9476e-02, 1.0000e+05, 49.70582, tmax
5.44, 0.00, 0.0245, 0.0005, 1.7716e-01, 0.0881, 0.0004, -8.9025e-03, 1.0000e+05, 49.87065, tmax
5.46, 0.00, 0.0248, 0.0006, 1.7712e-01, 0.0879, 0.0010, -6.6863e-03, 1.0000e+05, 49.83078, tmax
