# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
4.43, 0.00, 0.0230, 0.0001, 3.7751e-02, 0.0782, 0.0008, 8.6901e-02, 1.0000e+05, 56.70971, tmax
4.39, 0.00, 0.0231, 0.0003, 3.6007e-02, 0.0783, 0.0002, -3.9214e-03, 1.0000e+05, 56.80540, tmax
4.41, 0.00, 0.0227, 0.0001, 3.4282e-02, 0.0778, 0.0011, 3.1483e-02, 1.0000e+05, 56.77831, tmax
4.21, 0.00, 0.0218, 0.0002, 3.7625e-02, 0.0757, 0.0010, 8.7809e-02, 1.0000e+05, 57.04413, tmax
4.48, 0.00, 0.0229, 0.0003, 3.8005e-02, 0.0783, 0.0007, 9.1214e-02, 1.0000e+05, 56.66696, tmax
4.38, 0.00, 0.0230, 0.0003, 3.6075e-02, 0.0781, 0.0012, 8.2323e-02, 1.0000e+05, 56.93475, tmax
4.33, 0.00, 0.0734, 0.0002, 3.1425e-02, 0.1094, 0.0002, 3.9196e-02, 1.0000e+05, 56.96545, tmax
4.36, 0.00, 0.0415, 0.0004, 3.5982e-02, 0.0832, 0.0002, -8.3673e-03, 1.0000e+05, 56.94480, tmax
4.42, 0.00, 0.0230, 0.0002, 3.4074e-02, 0.0789, 0.0008, 4.1662e-02, 1.0000e+05, 56.89267, tmax
4.34, 0.00, 0.0794, 0.0003, 3.3950e-02, 0.1220, 0.0005, 2.1598e-02, 1.0000e+05, 57.03401, tmax
4.44, 0.00, 0.0227, 0.0003, 3.6420e-02, 0.0791, 0.0006, -1.0029e-02, 1.0000e+05, 56.90697, tmax
4.35, 0.00, 0.0549, 0.0004, 3.2047e-02, 0.0943, 0.0008, 4.4570e-02, 1.0000e+05, 57.05352, tmax
4.32, 0.00, 0.1078, 0.0003, 3.1281e-02, 0.1350, 0.0001, 8.2129e-02, 1.0000e+05, 57.09289, tmax
4.50, 0.00, 0.0227, 0.0002, 3.4934e-02, 0.0796, 0.0006, 1.8391e-02, 1.0000e+05, 56.86895, tmax
4.46, 0.00, 0.0227, 0.0001, 3.4741e-02, 0.0788, 0.0005, 2.3843e-02, 1.0000e+05, 56.90570, tmax
4.49, 0.00, 0.0227, 0.0005, 3.4335e-02, 0.0792, 0.0005, 3.3755e-02, 1.0000e+05, 56.88364, tmax
4.45, 0.00, 0.0228, 0.0004, 3.4700e-02, 0.0787, 0.0010, 2.1906e-02, 1.0000e+05, 56.95247, tmax
4.47, 0.00, 0.0228, 0.0003, 3.6418e-02, 0.0793, 0.0006, -1.0912e-02, 1.0000e+05, 56.98041, tmax
4.51, 0.00, 0.0225, 0.0001, 3.5858e-02, 0.0793, 0.0001, 7.7206e-02, 1.0000e+05, 56.89933, tmax
4.52, 0.00, 0.0227, 0.0002, 3.5007e-02, 0.0794, 0.0005, 1.6082e-02, 1.0000e+05, 56.92605, tmax
4.30, 0.00, 0.1551, 0.0004, 3.0807e-02, 0.1688, 0.0003, 8.4655e-02, 1.0000e+05, 57.35012, tmax
4.31, 0.00, 0.1035, 0.0002, 3.3484e-02, 0.1349, 0.0006, -1.5288e-03, 1.0000e+05, 57.34633, tmax
4.53, 0.00, 0.0227, 0.0003, 3.7980e-02, 0.0790, 0.0007, 9.0043e-02, 1.0000e+05, 57.00974, tmax
4.29, 0.00, 0.1165, 0.0005, 3.1549e-02, 0.1488, 0.0008, 8.2683e-03, 1.0000e+05, 57.60582, tmax
4.57, 0.00, 0.0228, 0.0003, 3.6791e-02, 0.0797, 0.0006, 8.7831e-02, 1.0000e+05, 56.86476, tmax
4.55, 0.00, 0.0226, 0.0002, 3.6981e-02, 0.0788, 0.0006, 8.8617e-02, 1.0000e+05, 57.00255, tmax
4.56, 0.00, 0.0225, 0.0002, 3.6395e-02, 0.0797, 0.0010, -9.0089e-03, 1.0000e+05, 56.93552, tmax
4.28, 0.00, 0.1239, 0.0004, 2.9497e-02, 0.1484, 0.0007, 1.0911e-01, 1.0000e+05, 57.68383, tmax
4.58, 0.00, 0.0227, 0.0003, 3.6862e-02, 0.0789, 0.0005, 8.7646e-02, 1.0000e+05, 56.71026, tmax
4.54, 0.00, 0.0226, 0.0002, 3.6245e-02, 0.0794, 0.0003, 8.2926e-02, 1.0000e+05, 57.07497, tmax
4.27, 0.00, 0.1351, 0.0010, 2.7793e-02, 0.1557, 0.0006, 9.1632e-02, 1.0000e+05, 57.75046, tmax
4.40, 0.00, 0.0229, 0.0003, 3.7233e-02, 0.0781, 0.0005, 8.8703e-02, 1.0000e+05, 57.77843, tmax
4.26, 0.00, 0.1700, 0.0008, 2.6120e-02, 0.1772, 0.0002, 1.0777e-01, 1.0000e+05, 57.99622, tmax
4.25, 0.00, 0.1578, 0.0004, 2.6365e-02, 0.1652, 0.0001, 6.3747e-02, 1.0000e+05, 58.02527, tmax
4.59, 0.00, 0.0226, 0.0002, 3.7759e-02, 0.0794, 0.0005, 9.1667e-02, 1.0000e+05, 56.92387, tmax
4.61, 0.00, 0.0227, 0.0001, 3.6387e-02, 0.0797, 0.0001, 8.4302e-02, 1.0000e+05, 56.86586, tmax
4.23, 0.00, 0.0942, 0.0004, 3.4966e-02, 0.1319, 0.0016, 9.9224e-02, 1.0000e+05, 58.25743, tmax
4.22, 0.00, 0.1504, 0.0020, 2.5333e-02, 0.1603, 0.0008, 1.2177e-01, 1.0000e+05, 58.46910, tmax
4.62, 0.00, 0.0225, 0.0002, 3.4912e-02, 0.0800, 0.0005, 2.3419e-02, 1.0000e+05, 56.85588, tmax
4.60, 0.00, 0.0225, 0.0001, 3.5421e-02, 0.0801, 0.0007, 1.0893e-02, 1.0000e+05, 57.85238, tmax
4.63, 0.00, 0.0227, 0.0002, 3.4663e-02, 0.0808, 0.0003, 3.3368e-02, 1.0000e+05, 56.86796, tmax
4.64, 0.00, 0.0226, 0.0000, 3.7980e-02, 0.0803, 0.0012, 9.0461e-02, 1.0000e+05, 56.85052, tmax
4.24, 0.00, 0.2341, 0.0018, 3.1163e-02, 0.2347, 0.0014, 9.8554e-03, 1.0000e+05, 59.60236, tmax
4.65, 0.00, 0.0225, 0.0002, 3.6530e-02, 0.0802, 0.0015, -1.1603e-02, 1.0000e+05, 59.40415, tmax
4.67, 0.00, 0.0224, 0.0001, 3.5134e-02, 0.0809, 0.0009, 6.6933e-02, 1.0000e+05, 59.42009, tmax
4.68, 0.00, 0.0226, 0.0002, 3.5373e-02, 0.0814, 0.0005, 1.2123e-02, 1.0000e+05, 59.43350, tmax
4.69, 0.00, 0.0225, 0.0000, 3.4582e-02, 0.0814, 0.0004, 4.1921e-02, 1.0000e+05, 56.88360, tmax
4.66, 0.00, 0.0224, 0.0003, 3.4714e-02, 0.0800, 0.0004, 5.6339e-02, 1.0000e+05, 59.65413, tmax
4.71, 0.00, 0.0225, 0.0001, 3.4843e-02, 0.0806, 0.0002, 3.4298e-02, 1.0000e+05, 56.60919, tmax
4.70, 0.00, 0.0224, 0.0000, 3.5995e-02, 0.0809, 0.0002, -7.1321e-04, 1.0000e+05, 56.63157, tmax
4.72, 0.00, 0.0224, 0.0000, 3.5810e-02, 0.0815, 0.0011, 5.3082e-03, 1.0000e+05, 56.62246, tmax
4.75, 0.00, 0.0224, 0.0002, 3.7696e-02, 0.0806, 0.0005, 9.3901e-02, 1.0000e+05, 56.61805, tmax
4.76, 0.00, 0.0221, 0.0002, 3.7576e-02, 0.0813, 0.0006, 9.3454e-02, 1.0000e+05, 56.61453, tmax
4.74, 0.00, 0.0223, 0.0001, 3.4886e-02, 0.0805, 0.0001, 3.8542e-02, 1.0000e+05, 56.66799, tmax
4.77, 0.00, 0.0222, 0.0001, 3.5044e-02, 0.0806, 0.0005, 2.8946e-02, 1.0000e+05, 56.62499, tmax
4.73, 0.00, 0.0222, 0.0000, 3.5259e-02, 0.0814, 0.0008, 2.0562e-02, 1.0000e+05, 56.69801, tmax
4.78, 0.00, 0.0222, 0.0003, 3.4902e-02, 0.0821, 0.0008, 4.4710e-02, 1.0000e+05, 56.62730, tmax
4.82, 0.00, 0.0271, 0.0002, 3.6425e-02, 0.0849, 0.0007, 8.4151e-02, 1.0000e+05, 56.63772, tmax
4.84, 0.00, 0.0233, 0.0001, 3.4957e-02, 0.0829, 0.0004, 4.5331e-02, 1.0000e+05, 56.62305, tmax
4.80, 0.00, 0.0240, 0.0003, 3.4923e-02, 0.0826, 0.0008, 4.4382e-02, 1.0000e+05, 56.72139, tmax
4.81, 0.00, 0.0245, 0.0002, 3.5035e-02, 0.0817, 0.0004, 5.6215e-02, 1.0000e+05, 56.70257, tmax
4.85, 0.00, 0.0259, 0.0001, 3.6498e-02, 0.0832, 0.0005, 8.3660e-02, 1.0000e+05, 56.72134, tmax
4.86, 0.00, 0.0223, 0.0001, 3.6249e-02, 0.0825, 0.0010, -1.8071e-03, 1.0000e+05, 56.69845, tmax
4.87, 0.00, 0.0212, 0.0001, 3.6319e-02, 0.0827, 0.0006, -4.3541e-03, 1.0000e+05, 56.68649, tmax
4.83, 0.00, 0.0250, 0.0003, 3.5730e-02, 0.0839, 0.0002, 7.7435e-02, 1.0000e+05, 56.85949, tmax
4.95, 0.00, 0.0218, 0.0004, 3.6366e-02, 0.0835, 0.0006, -5.0142e-03, 1.0000e+05, 56.64742, tmax
4.93, 0.00, 0.0219, 0.0001, 3.5297e-02, 0.0836, 0.0002, 3.5695e-02, 1.0000e+05, 56.70092, tmax
4.94, 0.00, 0.0219, 0.0001, 3.5334e-02, 0.0829, 0.0007, 5.7785e-02, 1.0000e+05, 56.71288, tmax
4.92, 0.00, 0.0232, 0.0001, 3.5916e-02, 0.0829, 0.0015, 7.6143e-02, 1.0000e+05, 56.74298, tmax
4.96, 0.00, 0.0217, 0.0001, 3.5403e-02, 0.0835, 0.0004, 6.1560e-02, 1.0000e+05, 56.69953, tmax
4.98, 0.00, 0.0215, 0.0001, 3.5562e-02, 0.0838, 0.0002, 2.1598e-02, 1.0000e+05, 56.67420, tmax
4.89, 0.00, 0.0230, 0.0001, 3.5837e-02, 0.0851, 0.0005, 7.4951e-03, 1.0000e+05, 56.82758, tmax
4.97, 0.00, 0.0216, 0.0002, 3.6702e-02, 0.0835, 0.0003, -1.0787e-02, 1.0000e+05, 56.70969, tmax
4.90, 0.00, 0.0213, 0.0001, 3.5876e-02, 0.0834, 0.0003, 8.9735e-03, 1.0000e+05, 56.82719, tmax
4.79, 0.00, 0.0221, 0.0001, 3.5599e-02, 0.0816, 0.0003, 1.0122e-02, 1.0000e+05, 57.15774, tmax
5.02, 0.00, 0.0215, 0.0001, 3.5579e-02, 0.0847, 0.0009, 7.1799e-02, 1.0000e+05, 56.67252, tmax
