# dH, e0, eM1_max, eM1_min, dA1_over_A0, eM2_max, eM2_min, dA2_over_A0, t_end(PM), wall_time, fate
6.18, 0.00, 0.0572, 0.0001, 6.8072e-01, 0.1050, 0.0002, -2.2546e-03, 1.0000e+07, 3254.19580, tmax
7.83, 0.00, 0.0816, 0.0000, 6.9803e-01, 0.1399, 0.0002, 1.9600e-02, 1.0000e+07, 3255.12133, tmax
6.12, 0.00, 0.0764, 0.0003, 6.8287e-01, 0.1068, 0.0002, 7.4522e-03, 1.0000e+07, 3264.72305, tmax
6.13, 0.00, 0.1036, 0.0002, 6.8259e-01, 0.1525, 0.0001, 9.4261e-02, 1.0000e+07, 3266.62590, tmax
5.60, 0.00, 0.6719, 0.0004, 2.3555e-01, 0.4449, 0.0003, 9.0316e+00, 9.6978e+06, 3278.95638, a>0.4R_H
7.37, 0.00, 0.1401, 0.0007, 7.0332e-01, 0.1573, 0.0003, 1.1396e-01, 1.0000e+07, 3325.66646, tmax
7.26, 0.00, 0.1396, 0.0009, 7.0808e-01, 0.1307, 0.0002, 1.0745e-01, 1.0000e+07, 3328.54509, tmax
7.25, 0.00, 0.1419, 0.0009, 7.1026e-01, 0.1237, 0.0005, 8.4053e-04, 1.0000e+07, 3334.15842, tmax
7.07, 0.00, 0.0925, 0.0000, 6.8933e-01, 0.1281, 0.0002, 3.5652e-02, 1.0000e+07, 3355.22110, tmax
7.45, 0.00, 0.1362, 0.0008, 7.0112e-01, 0.1469, 0.0003, 4.4627e-02, 1.0000e+07, 3354.75008, tmax
7.24, 0.00, 0.1377, 0.0008, 7.0912e-01, 0.1204, 0.0002, 9.9023e-02, 1.0000e+07, 3355.51175, tmax
7.36, 0.00, 0.1624, 0.0009, 7.2102e-01, 0.1227, 0.0002, 1.1941e-01, 1.0000e+07, 3403.57066, tmax
8.77, 0.00, 0.0002, 0.0001, 3.3316e-04, 0.2993, 0.1227, 1.3778e-01, 8.8797e+02, 0.83352, a>0.4R_H
3.60, 0.00, 0.3315, 0.0001, 3.1314e+00, 0.2337, 0.0003, -2.6125e-01, 6.2552e+05, 364.83976, collision
3.87, 0.00, 0.3366, 0.0001, 7.2789e-01, 0.2839, 0.0007, 6.2856e-01, 1.2740e+06, 671.77696, collision
8.74, 0.00, 0.0001, 0.0001, 2.8452e-04, 0.0683, 0.0683, 7.5355e-02, 8.5381e+02, 0.50938, a>0.4R_H
4.88, 0.00, 0.6765, 0.0000, -2.1049e-01, 0.6886, 0.0002, 2.4125e+00, 2.5865e+06, 1117.61383, d<R_roche
5.94, 0.00, 0.6305, 0.0001, 2.7784e-01, 43954.8419, 0.0001, -1.0111e+00, 9.7243e+06, 3228.02690, a<0
8.89, 0.00, 0.0002, 0.0002, 2.9287e-04, 0.7975, 0.7975, 2.8613e-01, 8.5381e+02, 0.55725, a>0.4R_H
8.07, 0.00, 0.0165, 0.0000, 6.9223e-01, 0.1530, 0.0001, 1.5005e-01, 1.0000e+07, 3193.47638, tmax
4.34, 0.00, 0.4592, 0.0003, 4.7011e-01, 0.5719, 0.0005, 1.1225e+00, 6.9188e+05, 381.09017, collision
7.61, 0.00, 0.0248, 0.0006, 6.8010e-01, 0.1306, 0.0001, -7.1290e-04, 1.0000e+07, 3230.62071, tmax
7.16, 0.00, 0.1163, 0.0003, 6.9961e-01, 0.1355, 0.0001, 1.0983e-01, 1.0000e+07, 3325.36215, tmax
4.22, 0.00, 0.4552, 0.0008, 2.2017e-01, 0.4300, 0.0008, 8.7073e+00, 1.0865e+06, 544.69844, collision
3.80, 0.00, 0.3286, 0.0001, 6.5827e+00, 0.2615, 0.0004, -2.8040e-01, 1.0264e+06, 565.40847, collision
3.86, 0.00, 0.2820, 0.0001, -2.9990e+00, 0.2679, 0.0005, -5.6227e-01, 1.2385e+06, 656.99813, collision
6.69, 0.00, 0.0409, 0.0001, 6.8075e-01, 0.1073, 0.0001, 2.3029e-02, 1.0000e+07, 3236.66901, tmax
8.54, 0.00, 0.0008, 0.0000, 6.7401e-01, 0.2322, 0.0003, 1.5014e-01, 1.0000e+07, 3237.30540, tmax
4.03, 0.00, 0.3064, 0.0001, -2.7946e+00, 0.2687, 0.0003, -8.6956e-02, 1.5705e+06, 816.67933, collision
4.38, 0.00, 0.5866, 0.0002, -2.8796e-01, 0.5504, 0.0006, 2.8597e+00, 1.7511e+06, 805.91232, d<R_roche
8.65, 0.00, 0.0001, 0.0001, 2.9024e-04, 0.0259, 0.0259, 1.9967e-01, 8.5381e+02, 0.50545, a>0.4R_H
5.27, 0.00, 0.4769, 0.0001, 4.0727e-02, 0.6783, 0.0002, -1.6088e+00, 6.6989e+06, 2449.45013, collision
4.11, 0.00, 0.3046, 0.0000, 3.2864e+00, 0.2410, 0.0003, -3.1622e-01, 1.6922e+06, 832.81686, collision
6.61, 0.00, 0.0362, 0.0008, 6.7990e-01, 0.1061, 0.0002, 7.0916e-02, 1.0000e+07, 3206.56130, tmax
4.71, 0.00, 0.6694, 0.0001, -3.3786e-02, 0.5308, 0.0002, 8.5066e-01, 9.8219e+05, 495.87610, d<R_roche
4.13, 0.00, 0.3057, 0.0001, 5.4901e-01, 0.2741, 0.0003, 1.6674e+00, 1.9578e+06, 956.38575, collision
